Ministry,Budget,Percentage_Share
1.    Department of Agriculture and Farmers Welfare,115531.7900,2.9286
2.    Department of Agricultural Research and Education,9504.0000,0.2409
3.    Atomic Energy,25078.4900,0.6357
4.    Ministry of Ayush,3647.5000,0.0925
5.    Department of Chemicals and Petrochemicals,173.4500,0.0044
6.    Department of Fertilisers,175148.4800,4.4399
7.    Department of Pharmaceuticals,3160.0600,0.0801
8.    Ministry of Civil Aviation,3113.3600,0.0789
9.    Ministry of Coal,192.3200,0.0049
10.    Department of Commerce,5254.5800,0.1332
11.    Department for Promotion of Industry and Internal Trade,8200.6300,0.2079
12.    Department of Posts,25814.0000,0.6544
13.    Department of Telecommunications,97579.0500,2.4735
14.    Department of Consumer Affairs,250.6600,0.0064
15.    Department of Food and Public Distribution,205513.9400,5.2096
16.    Ministry of Cooperation,1150.3800,0.0292
17.    Ministry of Corporate Affairs,756.1900,0.0192
18.    Ministry of Culture,3399.6500,0.0862
19.    Ministry of Defence (Civil),22612.5000,0.5732
20.    Defence Services (Revenue),270120.1400,6.8473
21.    Capital Outlay on Defence Services,162600.0000,4.1218
22.    Defence Pensions,138205.0000,3.5034
23.    Ministry of Development of North Eastern Region,5892.0000,0.1494
24.    Ministry of Earth Sciences,3319.8800,0.0842
25.    Department of School Education and Literacy,68804.8500,1.7441
26.    Department of Higher Education,44094.6200,1.1178
27.    Ministry of Electronics and Information Technology,16549.0400,0.4195
28.    Ministry of Environment Forests and Climate Change,3079.4000,0.0781
29.    Ministry of External Affairs,18050.0000,0.4576
32.    Department of Financial Services,1324.6400,0.0336
33.    Department of Public Enterprises,33.0500,0.0008
34.    Department of Investment and Public Asset Management (DIPAM),94.9200,0.0024
35.    Department of Revenue,146347.6800,3.7098
36.    Direct Taxes,9890.8700,0.2507
37.    Indirect Taxes,38510.0800,0.9762
38.    Indian Audit and Accounts Department,5806.1300,0.1472
39.    Interest Payments,1079971.0000,27.3763
40.    Repayment of Debt,,
41.    Pensions,71701.0000,1.8176
42.    Transfers to States,324641.4100,8.2294
43.    Department of Fisheries,2248.7700,0.0570
44.    Department of Animal Husbandry and Dairying,4327.8500,0.1097
45.    Ministry of Food Processing Industries,3287.6500,0.0833
46.    Department of Health and Family Welfare,86175.0000,2.1845
47.    Department of Health Research,2980.0000,0.0755
48.    Ministry of Heavy Industries,6171.6300,0.1564
49.    Ministry of Home Affairs,5901.3100,0.1496
50.    Cabinet,1258.6800,0.0319
60.    Ministry of Housing and Urban Affairs,76431.6000,1.9375
61.    Ministry of Information and Broadcasting,4692.0000,0.1189
62.    Department of Water Resources River Development and Ganga Rejuvenation,20054.6700,0.5084
63.    Department of Drinking Water and Sanitation,77223.0000,1.9575
64.    Ministry of Labour and Employment,13221.7300,0.3352
65.    Law and Justice,3975.4300,0.1008
66.    Election Commission,340.0000,0.0086
67.    Supreme Court of India,437.1500,0.0111
68.    Ministry of Micro Small and Medium Enterprises,22137.9500,0.5612
69.    Ministry of Mines,1911.6000,0.0485
70.    Ministry of Minority Affairs,3097.6000,0.0785
71.    Ministry of New and Renewable Energy,10222.0000,0.2591
72.    Ministry of Panchayati Raj,1016.4200,0.0258
73.    Ministry of Parliamentary Affairs,63.0000,0.0016
74.    Ministry of Personnel Public Grievances and Pensions,2207.7400,0.0560
75.    Central Vigilance Commission,44.4600,0.0011
76.    Ministry of Petroleum and Natural Gas,41007.7200,1.0395
77.    Ministry of Planning,824.3900,0.0209
78.    Ministry of Ports Shipping and Waterways,2218.7400,0.0562
79.    Ministry of Power,20671.3200,0.5240
"80.    Staff Household and Allowances of the President""",90.1400,0.0023
81.    Lok Sabha,822.0000,0.0208
82.    Rajya Sabha,484.4100,0.0123
83.    Secretariat of the Vice-President,9.3100,0.0002
84.    Union Public Service Commission,380.0000,0.0096
85.    Ministry of Railways,241267.5100,6.1159
86.    Ministry of Road Transport and Highways,270434.7100,6.8553
87.    Department of Rural Development,157545.0000,3.9936
88.    Department of Land Resources,2419.2300,0.0613
89.    Department of Science and Technology,7931.0500,0.2010
90.    Department of Biotechnology,2683.8600,0.0680
91.    Department of Scientific and Industrial Research,5746.5100,0.1457
92.    Ministry of Skill Development and Entrepreneurship,3517.3100,0.0892
93.    Department of Social Justice and Empowerment,12847.0200,0.3257
94.    Department of Empowerment of Persons with Disabilities,1225.1500,0.0311
95.    Department of Space,12543.9100,0.3180
96.    Ministry of Statistics and Programme Implementation,5443.4000,0.1380
97.    Ministry of Steel,70.1500,0.0018
98.    Ministry of Textiles,4389.3400,0.1113
99.    Ministry of Tourism,2400.0000,0.0608
100.    Ministry of Tribal Affairs,12461.8800,0.3159
101.    Ministry of Women and Child Development,25448.7500,0.6451
102.    Ministry of Youth Affairs and Sports,3397.3200,0.0861
