No.,Ministry,Total_05-06,Total_06-07,Total_07-08,Total_09-10,Total_10-11,Total_12-13,Total_13-14,Total_15-16,Total_16-17,Total_19-20,Total_20-21,Total_21-22,Total_22-23,Total_23-24
40,Mines,441.86,495.02,389.7,590.0,566.14,698.44,991.08,1155.71,1213.49,1497.94,1701.4,1466.82,1508.0,1911.6
41,New and Renewable Energy,0.0,0.0,632.9,628.0,1008.5,1397.79,1533.55,303.21,5035.79,5254.83,5753.0,5753.0,6900.68,10222.0
42,Parliamentary Affairs,5.9,6.0,0.0,8.33,0.0,11.72,13.28,15.57,17.3,19.38,50.52,65.07,66.4,63.0
43,"Personnel, Public Grievances and Pensions",304.0,345.3,366.0,675.5,706.36,894.67,1019.94,0.0,1477.68,1629.59,1754.54,2058.57,2337.18,2207.74
44,Petroleum and Natural Gas,3669.0,3106.62,0.0,3169.0,3179.0,43759.85,65188.41,30125.55,29160.62,42901.49,42901.0,15943.78,8939.86,41007.72
45,Pharmaceuticals,0.0,0.0,0.0,0.0,198.0,231.09,228.33,259.02,211.4,235.51,333.58,470.41,2244.15,3160.06
46,Planning,106.8,123.83,129.32,519.0,2059.32,2177.03,8081.51,2211.63,293.14,363.4,650.0,1062.77,321.42,824.39
47,Posts,1773.1,1765.2,1714.38,6021.26,4266.14,6537.12,7527.09,7138.7,9025.53,11299.1,15525.38,16528.22,20820.02,25814.0
48,Power,3061.7,5567.0,5552.19,9202.0,10474.87,9519.11,10073.07,6725.93,12252.71,15874.82,15874.82,15322.0,16074.74,20671.32
49,Public Enterprises,32.93,35.32,14.43,17.2,15.72,21.93,19.39,19.0,20.42,22.64,24.15,21.81,30.0,33.05
50,Railways,6520.0,6800.14,6886.31,14600.0,0.0,24000.0,26000.0,40000.0,45000.0,66768.67,72215.63,110054.64,140367.13,241267.51
51,Science and Technology,1636.0,1746.0,3550.0,2133.0,2369.0,2873.22,3184.27,3835.7,4470.2,5321.01,6301.53,6067.39,6000.0,7931.05
52,Scientific and Industrial Research,1557.0,1750.0,3804.0,2691.0,2988.0,3484.0,3571.0,4031.0,4062.8,4895.89,5385.0,5224.27,5636.46,5746.51
53,Shipping,963.92,1236.67,3107.0,1755.53,1935.89,1679.49,1712.67,1439.79,1531.0,1902.56,1800.0,0.0,0.0,0.0
54,Space,3148.0,3610.0,7717.2,4959.0,5778.0,6715.0,6792.0,7388.19,7509.14,11538.26,13479.47,13949.09,13700.0,12543.91
55,Steel,89.53,129.5,301.0,115.36,107.62,115.29,112.87,82.95,85.62,241.29,100.0,39.25,47.0,70.15
56,Supreme Court of India,38.28,43.27,0.0,88.02,0.0,111.75,129.41,155.0,189.88,269.46,308.61,334.96,401.46,437.15
57,Telecommunications,2858.65,3166.46,3840.0,7854.0,7210.87,10094.04,11703.14,13474.6,18413.87,27338.36,66431.69,58737.0,84586.8,97579.05
58,Textiles,2008.25,3045.75,6273.36,5398.0,5608.08,7836.41,5431.59,4274.8,4594.82,5831.48,3514.79,3631.64,12382.14,4389.34
59,Tourism,828.2,872.82,1993.24,1070.0,1119.41,1282.98,1357.3,1553.07,1590.32,2189.22,2499.83,2026.77,2400.0,2400.0
60,b. Economic Affairs,168199.94999999998,175249.79,238019.66999999998,271657.55,288155.44,401411.9,462846.27,582399.13,619362.4600000001,14120.62,29308.27,61128.18,14540.26,0.0
61,b. Economic Affairs,168199.94999999998,175249.79,238019.66999999998,271657.55,288155.44,401411.9,462846.27,582399.13,14850.0,14120.62,29308.27,61128.18,14540.26,0.0
62,b. Economic Affairs,168199.94999999998,175249.79,238019.66999999998,271657.55,288155.44,401411.9,462846.27,16000.0,14850.0,14120.62,29308.27,61128.18,14540.26,0.0
63,b. Economic Affairs,168199.94999999998,175249.79,238019.66999999998,271657.55,288155.44,401411.9,102957.0,582399.13,619362.4600000001,14120.62,29308.27,61128.18,14540.26,0.0
64,b. Economic Affairs,168199.94999999998,175249.79,238019.66999999998,271657.55,288155.44,401411.9,102957.0,16000.0,619362.4600000001,14120.62,29308.27,61128.18,14540.26,0.0
65,b. Economic Affairs,168199.94999999998,175249.79,238019.66999999998,271657.55,288155.44,401411.9,102957.0,16000.0,14850.0,14120.62,29308.27,61128.18,14540.26,0.0
66,b. Economic Affairs,168199.94999999998,175249.79,238019.66999999998,271657.55,288155.44,99543.0,462846.27,582399.13,619362.4600000001,14120.62,29308.27,61128.18,14540.26,0.0
67,b. Economic Affairs,168199.94999999998,175249.79,238019.66999999998,271657.55,288155.44,401411.9,462846.27,16000.0,619362.4600000001,14120.62,29308.27,61128.18,14540.26,0.0
68,b. Economic Affairs,168199.94999999998,175249.79,238019.66999999998,271657.55,288155.44,401411.9,102957.0,582399.13,14850.0,14120.62,29308.27,61128.18,14540.26,0.0
69,b. Economic Affairs,168199.94999999998,175249.79,238019.66999999998,271657.55,288155.44,99543.0,102957.0,16000.0,14850.0,14120.62,29308.27,61128.18,14540.26,0.0
70,b. Economic Affairs,168199.94999999998,175249.79,238019.66999999998,271657.55,288155.44,99543.0,102957.0,16000.0,619362.4600000001,14120.62,29308.27,61128.18,14540.26,0.0
71,b. Economic Affairs,168199.94999999998,175249.79,238019.66999999998,271657.55,288155.44,99543.0,102957.0,582399.13,14850.0,14120.62,29308.27,61128.18,14540.26,0.0
72,b. Economic Affairs,168199.94999999998,175249.79,238019.66999999998,271657.55,288155.44,99543.0,102957.0,582399.13,619362.4600000001,14120.62,29308.27,61128.18,14540.26,0.0
73,b. Economic Affairs,168199.94999999998,175249.79,238019.66999999998,271657.55,288155.44,99543.0,462846.27,16000.0,14850.0,14120.62,29308.27,61128.18,14540.26,0.0
74,b. Economic Affairs,168199.94999999998,175249.79,238019.66999999998,271657.55,288155.44,99543.0,462846.27,16000.0,619362.4600000001,14120.62,29308.27,61128.18,14540.26,0.0
75,b. Economic Affairs,168199.94999999998,175249.79,238019.66999999998,271657.55,288155.44,99543.0,462846.27,582399.13,14850.0,14120.62,29308.27,61128.18,14540.26,0.0
76,bb. Tribal Affairs,1509.74,1667.46,2247.37,819.61,1213.87,2517.0,2517.0,3753.84,4427.22,6526.96,7411.0,7524.87,8451.92,12461.88
77,bb. Tribal Affairs,1509.74,1667.46,2247.37,819.61,1213.87,2517.0,2517.0,3753.84,399.28,6526.96,7411.0,7524.87,8451.92,12461.88
78,bb. Tribal Affairs,1509.74,1667.46,2247.37,819.61,1213.87,2517.0,2517.0,1065.37,4427.22,6526.96,7411.0,7524.87,8451.92,12461.88
79,bb. Tribal Affairs,1509.74,1667.46,2247.37,819.61,1213.87,2517.0,2517.0,1065.37,399.28,6526.96,7411.0,7524.87,8451.92,12461.88
80,bb. Tribal Affairs,1509.74,1667.46,2247.37,819.61,1213.87,2517.0,1778.94,3753.84,4427.22,6526.96,7411.0,7524.87,8451.92,12461.88
81,bb. Tribal Affairs,1509.74,1667.46,2247.37,819.61,1213.87,2517.0,1778.94,3753.84,399.28,6526.96,7411.0,7524.87,8451.92,12461.88
82,bb. Tribal Affairs,1509.74,1667.46,2247.37,819.61,1213.87,2517.0,1778.94,1065.37,4427.22,6526.96,7411.0,7524.87,8451.92,12461.88
83,bb. Tribal Affairs,1509.74,1667.46,2247.37,819.61,1213.87,2517.0,1778.94,1065.37,399.28,6526.96,7411.0,7524.87,8451.92,12461.88
84,bb. Tribal Affairs,1509.74,1667.46,2247.37,819.61,1213.87,1591.0,2517.0,3753.84,4427.22,6526.96,7411.0,7524.87,8451.92,12461.88
85,bb. Tribal Affairs,1509.74,1667.46,2247.37,819.61,1213.87,1591.0,2517.0,3753.84,399.28,6526.96,7411.0,7524.87,8451.92,12461.88
