No.,Ministry,Total_05-06,Total_06-07,Total_07-08,Total_09-10,Total_10-11,Total_12-13,Total_13-14,Total_15-16,Total_16-17,Total_19-20,Total_20-21,Total_21-22,Total_22-23,Total_23-24
161,s. Road Transport and Highways,13889.55,15253.8,30766.170000000002,19565.0,22184.9,2267.0,28942.23,42841.65,10833.0,83015.97,91823.22,118101.0,199107.71,270434.71
162,s. Road Transport and Highways,13889.55,15253.8,30766.170000000002,1988.55,22184.9,28438.21,28942.23,42841.65,10833.0,83015.97,91823.22,118101.0,199107.71,270434.71
163,s. Road Transport and Highways,13889.55,15253.8,30766.170000000002,19565.0,22184.9,28438.21,2267.0,2868.0,10833.0,83015.97,91823.22,118101.0,199107.71,270434.71
164,s. Road Transport and Highways,13889.55,15253.8,30766.170000000002,19565.0,22184.9,28438.21,2267.0,2868.0,46983.0,83015.97,91823.22,118101.0,199107.71,270434.71
165,s. Road Transport and Highways,13889.55,15253.8,30766.170000000002,19565.0,22184.9,28438.21,2267.0,42841.65,10833.0,83015.97,91823.22,118101.0,199107.71,270434.71
166,s. Road Transport and Highways,13889.55,15253.8,30766.170000000002,19565.0,22184.9,28438.21,2267.0,42841.65,46983.0,83015.97,91823.22,118101.0,199107.71,270434.71
167,s. Road Transport and Highways,13889.55,15253.8,30766.170000000002,19565.0,22184.9,28438.21,28942.23,2868.0,10833.0,83015.97,91823.22,118101.0,199107.71,270434.71
168,s. Road Transport and Highways,13889.55,15253.8,30766.170000000002,19565.0,22184.9,28438.21,28942.23,2868.0,46983.0,83015.97,91823.22,118101.0,199107.71,270434.71
169,s. Road Transport and Highways,13889.55,15253.8,30766.170000000002,19565.0,22184.9,28438.21,28942.23,42841.65,10833.0,83015.97,91823.22,118101.0,199107.71,270434.71
170,s. Road Transport and Highways,13889.55,15253.8,30766.170000000002,19565.0,22184.9,28438.21,28942.23,42841.65,46983.0,83015.97,91823.22,118101.0,199107.71,270434.71
171,s. Road Transport and Highways,13889.55,15253.8,30766.170000000002,1988.55,22184.9,28438.21,28942.23,2868.0,46983.0,83015.97,91823.22,118101.0,199107.71,270434.71
172,s. Road Transport and Highways,13889.55,15253.8,30766.170000000002,19565.0,22184.9,2267.0,28942.23,42841.65,46983.0,83015.97,91823.22,118101.0,199107.71,270434.71
173,s. Road Transport and Highways,13889.55,15253.8,30766.170000000002,1988.55,22184.9,28438.21,28942.23,2868.0,10833.0,83015.97,91823.22,118101.0,199107.71,270434.71
174,s. Road Transport and Highways,13889.55,15253.8,30766.170000000002,1988.55,22184.9,2267.0,28942.23,2868.0,46983.0,83015.97,91823.22,118101.0,199107.71,270434.71
175,s. Road Transport and Highways,13889.55,15253.8,30766.170000000002,1988.55,22184.9,28438.21,2267.0,42841.65,10833.0,83015.97,91823.22,118101.0,199107.71,270434.71
176,s. Road Transport and Highways,13889.55,15253.8,30766.170000000002,1988.55,22184.9,28438.21,2267.0,2868.0,46983.0,83015.97,91823.22,118101.0,199107.71,270434.71
177,s. Road Transport and Highways,13889.55,15253.8,30766.170000000002,1988.55,22184.9,28438.21,2267.0,2868.0,10833.0,83015.97,91823.22,118101.0,199107.71,270434.71
178,s. Road Transport and Highways,13889.55,15253.8,30766.170000000002,1988.55,22184.9,2267.0,28942.23,42841.65,46983.0,83015.97,91823.22,118101.0,199107.71,270434.71
179,s. Road Transport and Highways,13889.55,15253.8,30766.170000000002,1988.55,22184.9,2267.0,28942.23,42841.65,10833.0,83015.97,91823.22,118101.0,199107.71,270434.71
180,s. Road Transport and Highways,13889.55,15253.8,30766.170000000002,1988.55,22184.9,2267.0,28942.23,2868.0,10833.0,83015.97,91823.22,118101.0,199107.71,270434.71
181,s. Road Transport and Highways,13889.55,15253.8,30766.170000000002,1988.55,22184.9,2267.0,2267.0,42841.65,46983.0,83015.97,91823.22,118101.0,199107.71,270434.71
182,s. Road Transport and Highways,13889.55,15253.8,30766.170000000002,1988.55,22184.9,2267.0,2267.0,2868.0,10833.0,83015.97,91823.22,118101.0,199107.71,270434.71
183,s. Road Transport and Highways,13889.55,15253.8,30766.170000000002,1988.55,22184.9,2267.0,2267.0,2868.0,46983.0,83015.97,91823.22,118101.0,199107.71,270434.71
184,s. Road Transport and Highways,13889.55,15253.8,30766.170000000002,1988.55,22184.9,2267.0,2267.0,42841.65,10833.0,83015.97,91823.22,118101.0,199107.71,270434.71
185,s. Road Transport and Highways,13889.55,15253.8,30766.170000000002,1988.55,22184.9,28438.21,2267.0,42841.65,46983.0,83015.97,91823.22,118101.0,199107.71,270434.71
186,u. Rural Development,18353.87,24047.56,27522.86,62706.95,66137.86,73221.82,74477.65,64100.0,78298.05,117647.19,120147.19,131519.08,135944.29,157545.0
187,u. Rural Development,18353.87,24047.56,27522.86,62706.95,66137.86,73221.82,74477.65,7493.08,7671.4,117647.19,120147.19,131519.08,135944.29,157545.0
188,u. Rural Development,18353.87,24047.56,27522.86,62706.95,66137.86,73221.82,74477.65,64100.0,7671.4,117647.19,120147.19,131519.08,135944.29,157545.0
189,u. Rural Development,18353.87,24047.56,27522.86,62706.95,66137.86,73221.82,74477.65,7493.08,78298.05,117647.19,120147.19,131519.08,135944.29,157545.0
190,v. Land Resources,1399.44,1421.7,3007.56,2405.64,2665.8,3208.2,5772.85,1572.77,230.51,2227.24,2251.24,2170.42,2259.34,2419.23
191,v. Land Resources,1399.44,1421.7,3007.56,2405.64,2665.8,3208.2,5772.85,1572.77,1477.85,2227.24,2251.24,2170.42,2259.34,2419.23
192,v. Land Resources,1399.44,1421.7,3007.56,2405.64,2665.8,3208.2,5772.85,59.73,1477.85,2227.24,2251.24,2170.42,2259.34,2419.23
193,v. Land Resources,1399.44,1421.7,3007.56,2405.64,2665.8,3208.2,5772.85,59.73,230.51,2227.24,2251.24,2170.42,2259.34,2419.23
194,w. Social Justice and Empowerment,1599.7,1817.6,4118.3,2585.0,4574.0,6008.3,6725.32,2792.57,1934.35,7800.0,10103.57,10517.62,11922.51,12847.02
195,w. Social Justice and Empowerment,1599.7,1817.6,4118.3,2585.0,4574.0,6008.3,6725.32,2792.57,4617.1,7800.0,10103.57,10517.62,11922.51,12847.02
196,w. Social Justice and Empowerment,1599.7,1817.6,4118.3,2585.0,4574.0,6008.3,6725.32,3722.25,1934.35,7800.0,10103.57,10517.62,11922.51,12847.02
197,w. Social Justice and Empowerment,1599.7,1817.6,4118.3,2585.0,4574.0,6008.3,6725.32,3722.25,4617.1,7800.0,10103.57,10517.62,11922.51,12847.02
198,y. Statistics and Programme Implementation,1839.99,1816.57,2127.08,535.27,568.35,988.54,3955.0,876.87,3980.01,5231.06,5444.0,1409.13,5398.08,5443.4
199,y. Statistics and Programme Implementation,1839.99,1816.57,2127.08,535.27,568.35,988.54,3955.0,876.87,772.82,5231.06,5444.0,1409.13,5398.08,5443.4
200,y. Statistics and Programme Implementation,1839.99,1816.57,2127.08,535.27,568.35,988.54,996.68,3950.0,3980.01,5231.06,5444.0,1409.13,5398.08,5443.4
201,y. Statistics and Programme Implementation,1839.99,1816.57,2127.08,535.27,568.35,988.54,996.68,3950.0,772.82,5231.06,5444.0,1409.13,5398.08,5443.4
202,y. Statistics and Programme Implementation,1839.99,1816.57,2127.08,535.27,568.35,988.54,996.68,876.87,3980.01,5231.06,5444.0,1409.13,5398.08,5443.4
203,y. Statistics and Programme Implementation,1839.99,1816.57,2127.08,1580.0,568.35,3955.0,996.68,876.87,3980.01,5231.06,5444.0,1409.13,5398.08,5443.4
204,y. Statistics and Programme Implementation,1839.99,1816.57,2127.08,1580.0,568.35,3955.0,3955.0,876.87,772.82,5231.06,5444.0,1409.13,5398.08,5443.4
205,y. Statistics and Programme Implementation,1839.99,1816.57,2127.08,535.27,568.35,988.54,3955.0,3950.0,772.82,5231.06,5444.0,1409.13,5398.08,5443.4
206,y. Statistics and Programme Implementation,1839.99,1816.57,2127.08,1580.0,568.35,3955.0,3955.0,876.87,3980.01,5231.06,5444.0,1409.13,5398.08,5443.4
207,y. Statistics and Programme Implementation,1839.99,1816.57,2127.08,1580.0,568.35,3955.0,3955.0,3950.0,772.82,5231.06,5444.0,1409.13,5398.08,5443.4
208,y. Statistics and Programme Implementation,1839.99,1816.57,2127.08,1580.0,568.35,3955.0,3955.0,3950.0,3980.01,5231.06,5444.0,1409.13,5398.08,5443.4
209,y. Statistics and Programme Implementation,1839.99,1816.57,2127.08,535.27,568.35,988.54,996.68,876.87,772.82,5231.06,5444.0,1409.13,5398.08,5443.4
210,y. Statistics and Programme Implementation,1839.99,1816.57,2127.08,535.27,568.35,988.54,3955.0,3950.0,3980.01,5231.06,5444.0,1409.13,5398.08,5443.4
211,y. Statistics and Programme Implementation,1839.99,1816.57,2127.08,535.27,568.35,3955.0,996.68,876.87,3980.01,5231.06,5444.0,1409.13,5398.08,5443.4
212,y. Statistics and Programme Implementation,1839.99,1816.57,2127.08,1580.0,568.35,3955.0,996.68,3950.0,772.82,5231.06,5444.0,1409.13,5398.08,5443.4
213,y. Statistics and Programme Implementation,1839.99,1816.57,2127.08,1580.0,568.35,3955.0,996.68,876.87,772.82,5231.06,5444.0,1409.13,5398.08,5443.4
214,y. Statistics and Programme Implementation,1839.99,1816.57,2127.08,1580.0,568.35,988.54,3955.0,3950.0,3980.01,5231.06,5444.0,1409.13,5398.08,5443.4
215,y. Statistics and Programme Implementation,1839.99,1816.57,2127.08,1580.0,568.35,988.54,3955.0,3950.0,772.82,5231.06,5444.0,1409.13,5398.08,5443.4
216,y. Statistics and Programme Implementation,1839.99,1816.57,2127.08,1580.0,568.35,988.54,3955.0,876.87,3980.01,5231.06,5444.0,1409.13,5398.08,5443.4
217,y. Statistics and Programme Implementation,1839.99,1816.57,2127.08,1580.0,568.35,988.54,3955.0,876.87,772.82,5231.06,5444.0,1409.13,5398.08,5443.4
218,y. Statistics and Programme Implementation,1839.99,1816.57,2127.08,1580.0,568.35,988.54,996.68,3950.0,3980.01,5231.06,5444.0,1409.13,5398.08,5443.4
219,y. Statistics and Programme Implementation,1839.99,1816.57,2127.08,1580.0,568.35,988.54,996.68,3950.0,772.82,5231.06,5444.0,1409.13,5398.08,5443.4
220,y. Statistics and Programme Implementation,1839.99,1816.57,2127.08,1580.0,568.35,988.54,996.68,876.87,3980.01,5231.06,5444.0,1409.13,5398.08,5443.4
221,y. Statistics and Programme Implementation,1839.99,1816.57,2127.08,1580.0,568.35,3955.0,996.68,3950.0,3980.01,5231.06,5444.0,1409.13,5398.08,5443.4
222,y. Statistics and Programme Implementation,1839.99,1816.57,2127.08,535.27,568.35,3955.0,3955.0,3950.0,3980.01,5231.06,5444.0,1409.13,5398.08,5443.4
223,y. Statistics and Programme Implementation,1839.99,1816.57,2127.08,535.27,568.35,3955.0,3955.0,3950.0,772.82,5231.06,5444.0,1409.13,5398.08,5443.4
224,y. Statistics and Programme Implementation,1839.99,1816.57,2127.08,535.27,568.35,3955.0,3955.0,876.87,3980.01,5231.06,5444.0,1409.13,5398.08,5443.4
225,y. Statistics and Programme Implementation,1839.99,1816.57,2127.08,535.27,568.35,3955.0,3955.0,876.87,772.82,5231.06,5444.0,1409.13,5398.08,5443.4
226,y. Statistics and Programme Implementation,1839.99,1816.57,2127.08,535.27,568.35,3955.0,996.68,3950.0,3980.01,5231.06,5444.0,1409.13,5398.08,5443.4
227,y. Statistics and Programme Implementation,1839.99,1816.57,2127.08,535.27,568.35,3955.0,996.68,3950.0,772.82,5231.06,5444.0,1409.13,5398.08,5443.4
228,y. Statistics and Programme Implementation,1839.99,1816.57,2127.08,535.27,568.35,3955.0,996.68,876.87,772.82,5231.06,5444.0,1409.13,5398.08,5443.4
229,y. Statistics and Programme Implementation,1839.99,1816.57,2127.08,1580.0,568.35,988.54,996.68,876.87,772.82,5231.06,5444.0,1409.13,5398.08,5443.4
