Ministry,Budget_07-08,Budget_20-21,Budget_10-11,Budget_06-07,Budget_15-16,Budget_22-23,Budget_12-13,Budget_13-14,Budget_23-24,Budget_21-22,Budget_09-10,Budget_19-20,Budget_05-06,Budget_16-17,Growth_05-06_to_06-07,Growth_06-07_to_07-08,Growth_07-08_to_09-10,Growth_09-10_to_10-11,Growth_10-11_to_12-13,Growth_12-13_to_13-14,Growth_13-14_to_15-16,Growth_15-16_to_16-17,Growth_16-17_to_19-20,Growth_19-20_to_20-21,Growth_20-21_to_21-22,Growth_21-22_to_22-23,Growth_22-23_to_23-24,CAGR
External Affairs,4433.6,17346.71,6375.0,3695.05,14966.83,17250.0,9661.97,11719.0,18050.0,18154.73,6293.0,16061.78,3928.0,14662.66,-5.930498981670056,19.987550912707544,41.93883074702273,1.3030351183855078,51.56031372549018,21.289964675940837,27.714224763205053,-2.032294079641448,9.542061263099606,7.999922798095843,4.65805907863797,-4.983439577454468,4.63768115942029,12.446668872602086
Fertilizers,22532.0,71345.0,50215.0,17385.81,73047.8,105262.23,61256.0,66269.0,175148.48,80011.39,50200.0,75035.0,16398.82,70039.37,6.018664757586226,29.599943862264677,122.79424818036571,0.0298804780876494,21.9874539480235,8.18368812850986,10.229217281081656,-4.118440254189733,7.132602706163698,-4.917705070966882,12.147158175064824,31.559056779291044,66.39252275008806,19.983796035548895
Food and Public Distribution,26085.0,122235.43,56133.05,24595.8,125212.0,215959.58,76267.16,91034.55,205513.94,253974.3,53262.0,192240.39,26590.1,140150.0,-7.500159833923149,6.054692264532973,104.18631397354801,5.3904284480492715,35.868548030082096,19.36271129015424,37.54338325394039,11.930166437721624,37.167599001070286,-36.41532354361121,107.77470165564927,-14.967939669486244,-4.836849562311607,17.03534082681839
Health and Family Welfare,15291.0,65011.8,23530.0,12545.88,11358.0,83000.0,30702.0,33278.0,86175.0,71268.77,21113.33,61398.12,10281.13,16371.08,22.028220633335053,21.88064926493798,38.07684258714277,11.446181156643686,30.480237994050146,8.39033287733698,-65.86934310956187,44.136995949991196,275.04013174451535,5.885652524865582,9.624360500709104,16.460547866898775,3.825301204819277,17.767698488567806
Heavy Industries,906.3,1489.98,881.71,905.84,1624.73,0.0,1009.67,1028.97,0.0,995.27,812.0,1162.0,861.32,1300.0,5.168810662703755,0.05078159498365304,-10.404943175548931,8.584975369458132,14.512708260085505,1.9115156437251843,57.89867537440353,-19.98670548337262,-10.615384615384615,28.225473321858868,-33.20245909341065,-100.0,0.0,0.0
Higher Education,9209.5,39466.52,16690.0,6982.28,25700.26,40828.35,25275.0,26750.0,44094.62,38350.65,15429.0,37461.01,5800.5,27585.0,20.373760882682525,31.898176526865157,67.53352516423259,8.17292112256141,51.43798681845416,5.835806132542038,-3.9242616822429968,7.333544485542176,35.80210259198841,5.353592975736625,-2.827383817980393,6.460646690473296,8.000004898557018,16.886159737462393
Home Affairs,20995.73,8002.0,35144.97,18018.41,65651.1,7621.0,52222.1,56906.84,5901.31,7620.4,37299.78,4895.81,17015.82,73406.37,5.892105111596151,16.523766525459237,77.65412300501102,-5.777004582868847,48.59053799163862,8.970799718892955,15.365920862940218,11.812856144070684,-93.33053793560423,63.445885359113184,-4.768807798050492,0.007873602435572462,-22.56514893058653,-7.822965002523374
Housing and Urban Affairs,7629.04,50039.9,7489.37,3206.26,13192.87,76549.46,9685.99,10363.75,76431.6,54581.0,5245.78,48032.17,3180.05,17461.6,0.824200877344697,137.94202591181,-31.239317135576695,42.769426091067494,29.329836822055793,6.997322937562399,27.298226993125084,32.35634096295952,175.07313190085677,4.1799693830197615,9.074958183369668,40.249280885289764,-0.15396581504298082,27.708082699484905
Petroleum and Natural Gas,0.0,42901.0,3179.0,3106.62,30125.55,8939.86,43759.85,65188.41,41007.72,15943.78,3169.0,42901.49,3669.0,29160.62,-15.32788225674571,-100.0,0.0,0.3155569580309246,1276.528782636049,48.96854079710055,-53.786953846550325,-3.203028658397939,47.121323209177305,-0.001142151473055977,-62.8358779515629,-43.928855014306514,358.7065121825174,20.40370177123414
Pharmaceuticals,0.0,333.58,198.0,0.0,259.02,2244.15,231.09,228.33,3160.06,470.41,0.0,235.51,0.0,211.4,0.0,0.0,0.0,0.0,16.712121212121215,-1.1943398675840542,13.441072132439874,-18.38468071963554,11.404919583727525,41.6415438834869,41.018646201810675,377.0625624455262,40.81322549740435,0.0
