Ministry,Total_05-06,Total_06-07,Total_07-08,Total_09-10,Total_10-11,Total_12-13,Total_13-14,Total_15-16,Total_16-17,Total_19-20,Total_20-21,Total_21-22,Total_22-23,Total_23-24
Ministry of Culture,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3042.35,3149.86,2687.99,3009.05,3399.65
Ministry of Development of North Eastern Region,52.23,62.79,93.07,101.47,209.33,229.33,250.97,564.74,830.01,3000,3048.73,2658.00,2800.00,5892.00
Ministry of Earth Sciences,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1901.76,2070.00,1897.13,2653.51,3319.88
Ministry of Electronics and Information Technology,1603.0,1716.0,1681.84,2568.0,2604.18,2737.32,3052.0,3711.11,4083.63,6420,6899.03,9720.66,3980.77,4692.00
Ministry of Environment Forests and Climate Change,0.0,0.0,0.0,0.0,0.0,0.0,0.0,449.55,856.42,3175.72,3100,2869.93,3030,3079.4
Ministry of Food Processing Industries,186.55,173.7,258.3,350.5,409.72,670.54,719.11,498.51,636.02,1196.6,1232.94,1308.66,2941.99,3287.65
Ministry of Housing and Urban Affairs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,48032.17,5029.00,54581.00,76549.46,76431.60
Ministry of Labour and Employment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,111.25,10434.09,12065.49,13306.50,16893.68,13221.73
Ministry of Micro Small and Medium Enterprises,0.0,0.0,0.0,2033.45,2648.7,3155.66,3289.71,3007.42,3464.77,7011.29,7572.2,15699.65,21422,22137.95
Ministry of Mines,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1497.94,1701.40,1466.82,1508.00,1911.60
Ministry of New and Renewable Energy,0.0,0.0,632.9,628.0,1008.5,1397.79,1533.55,303.21,5035.79,5254.83,5753.00,5753.00,6900.68,10222.00
Ministry of Panchayati Raj,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,871.37,900.94,913.43,868.57,1016.42
Ministry of Parliamentary Affairs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,6526.96,7411.00,7524.87,8451.92,63.00
