Ministry,Budget,Percentage_Share
I. CENTRAL SECTOR,1356634.3700,90.9928
Agriculture and Cooperation,11313.2200,0.7588
Agriculture Research and Education,5392.0000,0.3617
Animal Husbandry Dairying and Fisheries,2009.3700,0.1348
Atomic Energy,9232.0000,0.6192
Chemicals and Petrochemicals,1802.6200,0.1209
Fertilisers,61256.0000,4.1086
Pharmaceuticals,231.0900,0.0155
Civil Aviation,5238.8000,0.3514
Coal,498.3500,0.0334
Commerce,5023.0000,0.3369
Industrial Policy and Promotion,1567.2500,0.1051
Posts,6537.1200,0.4385
Telecommunications,10094.0400,0.6770
Information Technology,3051.0000,0.2046
Consumer Affairs,602.2900,0.0404
Food and Public Distribution,76267.1600,5.1154
Corporate Affairs,245.5000,0.0165
Culture,1447.0000,0.0971
Defence(Civil Estimates),44798.2400,3.0047
Defence Services,193407.2900,12.9723
Development of North Eastern Region,229.3300,0.0154
Earth Sciences,1668.0000,0.1119
Environment and Forests,2629.4100,0.1764
External Affairs,9661.9700,0.6481
Economic Affairs,23165.0100,1.5537
Financial Services,24437.2300,1.6391
Economic Affairs (Centralised Provisions),378246.8900,25.3699
Expenditure,21350.9500,1.4321
Disinvestment,63.2400,0.0042
Food Processing Industries,670.5400,0.0450
Health and Family Welfare,30702.0000,2.0593
Ayurveda Yoga & Naturopathy Unani Siddha and Homoeopathy ( AYUSH),1178.0000,0.0790
Health Research,908.0000,0.0609
AIDS Control,1700.0000,0.1140
Heavy Industry,1009.6700,0.0677
Public Enterprises,21.9300,0.0015
Home Affairs,52222.1000,3.5027
Housing and Urban Poverty Alleviation,1163.0000,0.0780
School Education and Literacy,48781.0000,3.2719
Higher Education,25275.0000,1.6953
Information and Broadcasting,2737.3200,0.1836
Labour and Employment,4333.6800,0.2907
Election Commission,72.1700,0.0048
Law and Justice,1535.6200,0.1030
Supreme Court of India,111.7500,0.0075
Micro Small and Medium Enterprises,3155.6600,0.2117
Mines,698.4400,0.0468
Minority Affairs,3154.7000,0.2116
New and Renewable Energy,1397.7900,0.0938
Overseas Indian Affairs,114.7700,0.0077
Panchayati Raj,300.7400,0.0202
Parliamentary Affairs,11.7200,0.0008
Personnel Public Grievances and Pensions,894.6700,0.0600
Petroleum and Natural Gas,43759.8500,2.9351
Planning,2177.0300,0.1460
Power,9519.1100,0.6385
The President Parliament Union Public Service Commission and the Secretariat of the Vice President,902.9800,0.0606
Road Transport and Highways,28438.2100,1.9074
Rural Development,73221.8200,4.9112
Land Resources,3208.2000,0.2152
Drinking Water and Sanitation,14005.2400,0.9394
Science and Technology,2873.2200,0.1927
Scientific and Industrial Research,3484.0000,0.2337
Biotechnology,1500.3900,0.1006
Shipping,1679.4900,0.1126
Social Justice and Empowerment,6008.3000,0.4030
Space,6715.0000,0.4504
Statistics and Programme Implementation,988.5400,0.0663
Steel,115.2900,0.0077
Textiles,7836.4100,0.5256
Tourism,1282.9800,0.0861
Tribal Affairs,1591.0000,0.1067
Urban Development,9685.9900,0.6497
Water Resources,2041.0000,0.1369
Women and Child Development,18584.0000,1.2465
Youth Affairs and Sports,1152.0000,0.0773
Railways,24000.0000,1.6097
II. STATE PLANS TOTAL (A+B),124249.0000,8.3337
A. STATE PLANS (a+b+c+d+e+f),122549.0000,8.2197
a. Agriculture and Cooperation,9217.0000,0.6182
b. Economic Affairs (Centralised Provisions),99543.0000,6.6766
c. Panchayati Raj,5050.0000,0.3387
d. Road Transport and Highways,2267.0000,0.1521
e. Statistics and Programme Implementation,3955.0000,0.2653
f. Tribal Affairs,2517.0000,0.1688
B. DONER (g+h),1700.0000,0.1140
g. Grants from Central Pool of Resources for North Eastern Region and Sikkim,879.0000,0.0590
h. North Eastern Region,821.0000,0.0551
III. UNION TERRITORIES (A + B),10041.9200,0.6735
A. UNION TERRITORIES WITH LEGISLATURE (1 + 2),2306.0000,0.1547
(2) Puducherry,1205.0000,0.0808
,,
B. UNION TERRITORIES WITHOUT LEGISLATURE (3 + 4 + 5 + 6 + 7),7735.9200,0.5189
(3) Andaman and Nicobar Islands,2982.6500,0.2001
(4) Chandigarh,2546.9600,0.1708
(5) Dadra and Nagar Haveli,716.5600,0.0481
(6) Daman and Diu,683.2000,0.0458
(7) Lakshadweep,806.5500,0.0541
IV. Total Central Assistance for States and UTs (II + III),134290.9200,9.0072
