MINISTRY/DEPARTMENT,Total
I. CENTRAL SECTOR,1356634.37
Agriculture and Cooperation,11313.22
Agriculture Research and Education,5392
Animal Husbandry Dairying and Fisheries,2009.37
Atomic Energy,9232
Chemicals and Petrochemicals,1802.62
Fertilisers,61256
Pharmaceuticals,231.09
Civil Aviation,5238.8
Coal,498.35
Commerce,5023
Industrial Policy and Promotion,1567.25
Posts,6537.12
Telecommunications,10094.04
Information Technology,3051
Consumer Affairs,602.29
Food and Public Distribution,76267.16
Corporate Affairs,245.5
Culture,1447
Defence(Civil Estimates),44798.24
Defence Services,193407.29
Development of North Eastern Region,229.33
Earth Sciences,1668
Environment and Forests,2629.41
External Affairs,9661.97
Economic Affairs,23165.01
Financial Services,24437.23
Economic Affairs (Centralised Provisions),378246.89
Expenditure,21350.95
Disinvestment,63.24
Food Processing Industries,670.54
Health and Family Welfare,30702
Ayurveda Yoga & Naturopathy Unani Siddha and Homoeopathy ( AYUSH),1178
Health Research,908
AIDS Control,1700
Heavy Industry,1009.67
Public Enterprises,21.93
Home Affairs,52222.1
Housing and Urban Poverty Alleviation,1163
School Education and Literacy,48781
Higher Education,25275
Information and Broadcasting,2737.32
Labour and Employment,4333.68
Election Commission,72.17
Law and Justice,1535.62
Supreme Court of India,111.75
Micro Small and Medium Enterprises,3155.66
Mines,698.44
Minority Affairs,3154.7
New and Renewable Energy,1397.79
Overseas Indian Affairs,114.77
Panchayati Raj,300.74
Parliamentary Affairs,11.72
Personnel Public Grievances and Pensions,894.67
Petroleum and Natural Gas,43759.85
Planning,2177.03
Power,9519.11
The President Parliament Union Public Service Commission and the Secretariat of the Vice President,902.98
Road Transport and Highways,28438.21
Rural Development,73221.82
Land Resources,3208.2
Drinking Water and Sanitation,14005.24
Science and Technology,2873.22
Scientific and Industrial Research,3484
Biotechnology,1500.39
Shipping,1679.49
Social Justice and Empowerment,6008.3
Space,6715
Statistics and Programme Implementation,988.54
Steel,115.29
Textiles,7836.41
Tourism,1282.98
Tribal Affairs,1591
Urban Development,9685.99
Water Resources,2041
Women and Child Development,18584
Youth Affairs and Sports,1152
Railways,24000
II. STATE PLANS TOTAL (A+B),124249
A. STATE PLANS (a+b+c+d+e+f),122549
a. Agriculture and Cooperation,9217
b. Economic Affairs (Centralised Provisions),99543
c. Panchayati Raj,5050
d. Road Transport and Highways,2267
e. Statistics and Programme Implementation,3955
f. Tribal Affairs,2517
B. DONER (g+h),1700
g. Grants from Central Pool of Resources for North Eastern Region and Sikkim,879
h. North Eastern Region,821
III. UNION TERRITORIES (A + B),10041.92
A. UNION TERRITORIES WITH LEGISLATURE (1 + 2),2306
(2) Puducherry,1205
,
B. UNION TERRITORIES WITHOUT LEGISLATURE (3 + 4 + 5 + 6 + 7),7735.92
(3) Andaman and Nicobar Islands,2982.65
(4) Chandigarh,2546.96
(5) Dadra and Nagar Haveli,716.56
(6) Daman and Diu,683.2
(7) Lakshadweep,806.55
IV. Total Central Assistance for States and UTs (II + III),134290.92
Grand Total,1490925.29
