Ministry,Budget,Percentage_Share
1. Department of Agriculture Cooperation and Farmers' Welfare,134399.7700,4.4178
2. Department of Agricultural Research and Education,8362.5800,0.2749
3. Atomic Energy,18228.9400,0.5992
4. Ministry of Ayurveda Yoga and Naturopathy Unani Siddha and Homoeopathy (AYUSH),2122.0800,0.0698
5. Department of Chemicals and Petrochemicals,218.3400,0.0072
6. Department of Fertilisers,71345.0000,2.3452
7. Department of Pharmaceuticals,333.5800,0.0110
8. Ministry of Civil Aviation,3797.7100,0.1248
9. Ministry of Coal,882.6100,0.0290
10. Department of Commerce,6219.3200,0.2044
11. Department for Promotion of Industry and Internal Trade,6605.5500,0.2171
12. Department of Posts,15525.3800,0.5103
13. Department of Telecommunications,66431.6900,2.1837
14. Department of Consumer Affairs,2300.0000,0.0756
15. Department of Food and Public Distribution,122235.4300,4.0180
16. Ministry of Corporate Affairs,727.6200,0.0239
17. Ministry of Culture,3149.8600,0.1035
18. Ministry of Defence (Civil),14500.0000,0.4766
19. Defence Services (Revenue),209319.0000,6.8804
20. Capital Outlay on Defence Services,113734.0000,3.7385
21. Defence Pensions,133825.0000,4.3989
22. Ministry of Development of North Eastern Region,3048.7300,0.1002
23. Ministry of Earth Sciences,2070.0000,0.0680
24. Ministry of Electronics and Information Technology,6899.0300,0.2268
25. Ministry of Environment Forests and Climate Change,3100.0000,0.1019
26. Ministry of External Affairs,17346.7100,0.5702
27. Department of Economic Affairs,29308.2700,0.9634
28. Department of Expenditure,535.5500,0.0176
29. Department of Financial Services,11125.0000,0.3657
30. Department of Investment and Public Asset Management (DIPAM),132.1100,0.0043
31. Department of Revenue,136640.3300,4.4915
32. Direct Taxes,8063.3900,0.2650
33. Indirect Taxes,8258.0000,0.2714
34. Indian Audit and Accounts Department,5054.7300,0.1662
35. Interest Payments,708203.1600,23.2791
36. Repayment of Debt,,
37. Pensions,61169.3500,2.0107
38. Transfers to States,200447.4500,6.5888
39. Department of Fisheries,825.0000,0.0271
40. Department of Animal Husbandry and Dairying,3289.1300,0.1081
41. Ministry of Food Processing Industries,1232.9400,0.0405
42. Department of Health and Family Welfare,65011.8000,2.1370
43. Department of Health Research,2100.0000,0.0690
44. Department of Heavy Industry,1489.9800,0.0490
45. Department of Public Enterprises,24.1500,0.0008
46. Ministry of Home Affairs,8002.0000,0.2630
47. Cabinet,1140.3800,0.0375
48. Police,105244.3400,3.4594
49. Andaman and Nicobar Islands,5164.2600,0.1698
50. Chandigarh,4635.1000,0.1524
51. Dadra and Nagar Haveli and Daman and Diu,2180.5200,0.0717
52. Ladakh,5958.0000,0.1958
53. Lakshadweep,1349.7100,0.0444
54. Transfers to Delhi,1116.0000,0.0367
55. Transfers to Jammu and Kashmir,30757.0000,1.0110
56. Transfers to Puducherry,1703.0200,0.0560
57. Ministry of Housing and Urban Affairs,50039.9000,1.6448
58. Department of School Education and Literacy,59845.0000,1.9671
59. Department of Higher Education,39466.5200,1.2973
60. Ministry of Information and Broadcasting,4375.2100,0.1438
61. Department of Water Resources River Development and Ganga Rejuvenation,8960.3900,0.2945
62. Department of Drinking Water and Sanitation,21518.1000,0.7073
63. Ministry of Labour and Employment,12065.4900,0.3966
64. Law and Justice,2200.0000,0.0723
65. Election Commission,270.0000,0.0089
66. Supreme Court of India,308.6100,0.0101
67. Ministry of Micro Small and Medium Enterprises,7572.2000,0.2489
68. Ministry of Mines,1701.4000,0.0559
69. Ministry of Minority Affairs,5029.0000,0.1653
70. Ministry of New and Renewable Energy,5753.0000,0.1891
71. Ministry of Panchayati Raj,900.9400,0.0296
72. Ministry of Parliamentary Affairs,50.5200,0.0017
73. Ministry of Personnel Public Grievances and Pensions,1754.5400,0.0577
74. Central Vigilance Commission,39.0000,0.0013
75. Ministry of Petroleum and Natural Gas,42901.0000,1.4102
76. Ministry of Planning,650.0000,0.0214
77. Ministry of Power,15874.8200,0.5218
78. Staff Household and Allowances of the President,80.9800,0.0027
79. Lok Sabha,811.1000,0.0267
80. Rajya Sabha,436.2900,0.0143
81. Secretariat of the Vice-President,7.2500,0.0002
82. Union Public Service Commission,305.3800,0.0100
83. Ministry of Railways,72215.6300,2.3738
84. Ministry of Road Transport and Highways,91823.2200,3.0183
85. Department of Rural Development,120147.1900,3.9493
86. Department of Land Resources,2251.2400,0.0740
87. Department of Science and Technology,6301.5300,0.2071
88. Department of Biotechnology,2786.7600,0.0916
89. Department of Scientific and Industrial Research,5385.0000,0.1770
90. Ministry of Shipping,1800.0000,0.0592
91. Ministry of Skill Development and Entrepreneurship,3002.2100,0.0987
92. Department of Social Justice and Empowerment,10103.5700,0.3321
93. Department of Empowerment of Persons with Disabilities,1325.3900,0.0436
94. Department of Space,13479.4700,0.4431
95. Ministry of Statistics and Programme Implementation,5444.0000,0.1789
96. Ministry of Steel,100.0000,0.0033
97. Ministry of Textiles,3514.7900,0.1155
98. Ministry of Tourism,2499.8300,0.0822
99. Ministry of Tribal Affairs,7411.0000,0.2436
100. Ministry of Women and Child Development,30007.1000,0.9864
101. Ministry of Youth Affairs and Sports,2826.9200,0.0929
Finance Commission Grants,149924.8000,4.9281
Other Grants/Loans/Transfers,223426.7400,7.3442
