MINISTRY/DEPARTMENT,Total
1. Department of Agriculture Cooperation and Farmers' Welfare,134399.77
2. Department of Agricultural Research and Education,8362.58
3. Atomic Energy,18228.94
4. Ministry of Ayurveda Yoga and Naturopathy Unani Siddha and Homoeopathy (AYUSH),2122.08
5. Department of Chemicals and Petrochemicals,218.34
6. Department of Fertilisers,71345.00
7. Department of Pharmaceuticals,333.58
8. Ministry of Civil Aviation,3797.71
9. Ministry of Coal,882.61
10. Department of Commerce,6219.32
11. Department for Promotion of Industry and Internal Trade,6605.55
12. Department of Posts,15525.38
13. Department of Telecommunications,66431.69
14. Department of Consumer Affairs,2300.00
15. Department of Food and Public Distribution,122235.43
16. Ministry of Corporate Affairs,727.62
17. Ministry of Culture,3149.86
18. Ministry of Defence (Civil),14500.00
19. Defence Services (Revenue),209319.00
20. Capital Outlay on Defence Services,113734.00
21. Defence Pensions,133825.00
22. Ministry of Development of North Eastern Region,3048.73
23. Ministry of Earth Sciences,2070.00
24. Ministry of Electronics and Information Technology,6899.03
25. Ministry of Environment Forests and Climate Change,3100
26. Ministry of External Affairs,17346.71
27. Department of Economic Affairs,29308.27
28. Department of Expenditure,535.55
29. Department of Financial Services,11125.00
30. Department of Investment and Public Asset Management (DIPAM),132.11
31. Department of Revenue,136640.33
32. Direct Taxes,8063.39
33. Indirect Taxes,8258.00
34. Indian Audit and Accounts Department,5054.73
35. Interest Payments,708203.16
36. Repayment of Debt,...
37. Pensions,61169.35
38. Transfers to States,200447.45
39. Department of Fisheries,825.00
40. Department of Animal Husbandry and Dairying,3289.13
41. Ministry of Food Processing Industries,1232.94
42. Department of Health and Family Welfare,65011.80
43. Department of Health Research,2100.00
44. Department of Heavy Industry,1489.98
45. Department of Public Enterprises,24.15
46. Ministry of Home Affairs,8002.00
47. Cabinet,1140.38
48. Police,105244.34
49. Andaman and Nicobar Islands,5164.26
50. Chandigarh,4635.10
51. Dadra and Nagar Haveli and Daman and Diu,2180.52
52. Ladakh,5958.00
53. Lakshadweep,1349.71
54. Transfers to Delhi,1116.00
55. Transfers to Jammu and Kashmir,30757.00
56. Transfers to Puducherry,1703.02
57. Ministry of Housing and Urban Affairs,50039.90
58. Department of School Education and Literacy,59845.00
59. Department of Higher Education,39466.52
60. Ministry of Information and Broadcasting,4375.21
61. Department of Water Resources River Development and Ganga Rejuvenation,8960.39
62. Department of Drinking Water and Sanitation,21518.10
63. Ministry of Labour and Employment,12065.49
64. Law and Justice,2200.00
65. Election Commission,270.00
66. Supreme Court of India,308.61
67. Ministry of Micro Small and Medium Enterprises,7572.2
68. Ministry of Mines,1701.40
69. Ministry of Minority Affairs,5029.00
70. Ministry of New and Renewable Energy,5753.00
71. Ministry of Panchayati Raj,900.94
72. Ministry of Parliamentary Affairs,50.52
73. Ministry of Personnel Public Grievances and Pensions,1754.54
74. Central Vigilance Commission,39.00
75. Ministry of Petroleum and Natural Gas,42901.00
76. Ministry of Planning,650.00
77. Ministry of Power,15874.82
78. Staff Household and Allowances of the President,80.98
79. Lok Sabha,811.10
80. Rajya Sabha,436.29
81. Secretariat of the Vice-President,7.25
82. Union Public Service Commission,305.38
83. Ministry of Railways,72215.63
84. Ministry of Road Transport and Highways,91823.22
85. Department of Rural Development,120147.19
86. Department of Land Resources,2251.24
87. Department of Science and Technology,6301.53
88. Department of Biotechnology,2786.76
89. Department of Scientific and Industrial Research,5385.00
90. Ministry of Shipping,1800.00
91. Ministry of Skill Development and Entrepreneurship,3002.21
92. Department of Social Justice and Empowerment,10103.57
93. Department of Empowerment of Persons with Disabilities,1325.39
94. Department of Space,13479.47
95. Ministry of Statistics and Programme Implementation,5444.00
96. Ministry of Steel,100.00
97. Ministry of Textiles,3514.79
98. Ministry of Tourism,2499.83
99. Ministry of Tribal Affairs,7411.00
100. Ministry of Women and Child Development,30007.10
101. Ministry of Youth Affairs and Sports,2826.92
Grand Total,3042230.09
Finance Commission Grants,149924.80
Other Grants/Loans/Transfers,223426.74
