model,n_eval,MAE,RMSE,R2,MAPE_%
DL_Ensemble_2025,55,17334.21803522563,86115.17002459765,0.25569019228095125,17.796999937215876
Linear_Ridge_2025,55,16825.76500081898,86053.9669955067,0.2567477951846844,9.343097651029261
Naive_Lag1_2024,55,16665.53309090909,86044.16480293733,0.25691710954768054,8.61186674076262
