MINISTRY/DEPARTMENT,Total
Agriculture & Cooperation,4559.83
Agricultural Research and Education,1942.00
Animal Husbandry and Dairying,710.69
Agro and Rural Industries,946.63
Atomic Energy,4995.86
Chemicals and Petro-Chemicals,913.25
Fertilisers,16398.82
Civil Aviation,633.50
Coal,192.07
Mines,441.86
Commerce,2420.00
Industrial Policy and Promotion,640.27
Posts,1773.10
Telecommunications,2858.65
Information Technology,965.30
Company Affairs,116.27
Consumer Affairs,133.34
Food and Public Distribution,26590.10
Culture,865.27
Defence (Civil estimates),13952.00
Defence Services,83000.00
Development of North Eastern Region,52.23
Environment and Forests,1388.19
External Affairs,3928.00
Economic Affairs,8085.68
Economic Affairs (centralised provisions),160114.27
Expenditure,7073.92
Disinvestment,6.70
Food Processing Industries,186.55
Health,3827.64
"Ayurveda, Yoga & Naturopathy, Unani, Siddha and Homoeopathy(AYUSH)",405.98
Family Welfare,6453.49
Heavy Industry,861.32
Public Enterprises,32.93
Home Affairs,17015.82
Elementary Education and Literacy,12536.53
Secondary Education and Higher Education,5800.50
Women and Child Development,3931.11
Information and Broadcasting,1603.00
Labour and Employment,1192.09
Election Commission,11.85
Law and Justice,495.00
Supreme Court of India,38.28
Non-Conventional Energy Sources,605.38
Overseas Indian Affairs@,35.00
Panchayati Raj@,50.44
Ocean Development,377.00
Parliamentary Affairs,5.90
"Personnel, Public Grievances and Pensions",304.00
Petroleum and Natural Gas,3669.00
Planning,106.80
Power,3061.70
"The President, Parliament, Union Public Service Commission and the Secretariat of the Vice-President",378.74
Rural Development,18353.87
Land Resources,1399.44
Drinking Water Supply,4751.42
Science and Technology,1636.00
Scientific and Industrial Research,1557.00
Biotechnology,458.60
Shipping,963.92
Road Transport and Highways,12411.00
Small Scale Industries,460.30
Social Justice and Empowerment,1599.70
Space,3148.00
Statistics and Programme Implementation,259.99
Steel,89.53
Textiles,2008.25
Tourism,828.20
Tribal Affairs,402.73
Urban Development,3180.05
Water Resources,874.56
Youth Affairs and Sports,506.99
Railways,6520.00
Central Ministries/Departments Total,478574.64
STATE PLANS (including DONER) Total,31742.39
State Plans,30695.89
Agriculture and Cooperation,30.00
Finance,26500.33
Statistics and Programme Implementation,1580.00
Road Transport and Highways,1478.55
Tribal Affairs,1107.01
DONER,1046.50
North Eastern Region,461.50
Central Pool of Resources for NE and Sikkim,585.00
UNION TERRITORIES,4026.77
Union Territories with Legislature,885.49
Pondicherry,698.10
Union Territories without Legislature,3141.28
Andaman & Nicobar Islands,1675.59
Chandigarh,994.43
Dadra & Nagar Haveli,114.70
Daman & Diu,115.52
Lakshadweep,241.04
GRAND TOTAL,514343.80
