Sector_12,Fiscal_Year,Year_End,Prev_Year_Amount,Forecast,Actual
agriculture forestry fishing,24-25,2025,253185.88,220609.8,
communication broadcasting culture and toursim,24-25,2025,262565.88,224928.36,
defense security,24-25,2025,51126.31,47460.105,
economic services,24-25,2025,61298.69,37352.254,
energy and natural resources,24-25,2025,246136.28,313718.88,
food distribution,24-25,2025,209052.25,190343.61,
governance and administration,24-25,2025,94545.62,81326.7,
infrastructure and transport,24-25,2025,352198.4,383232.06,
regional and development,24-25,2025,31008.08,33597.332,
science and innovation,24-25,2025,28905.33,26636.617,
social and services,24-25,2025,252239.36,278484.62,
