MINISTRY/DEPARTMENT,Total
I. CENTRAL SECTOR,7808.15
Agriculture & Cooperation,7715.60
Agricultural Research and Education,3241.40
Animal Husbandry and Dairying,1206.28
Atomic Energy,7773.00
Chemicals and Petro-Chemicals,265.15
Fertilisers,50200.00
Pharmaceuticals@,
Civil Aviation,887.00
Coal,349.00
Commerce,3652.00
Industrial Policy and Promotion,1186.00
Posts,6021.26
Telecommunications,7854.00
Information Technology,2582.00
Consumer Affairs,467.00
Food and Public Distribution,53262.00
Corporate Affairs,229.62
Culture,1276.00
Defence (Civil estimates),24960.00
Defence Services,141703.00
Development of North Eastern Region,101.47
Earth Sciences,1210.00
Environment and Forests,2129.00
External Affairs,6293.00
Economic Affairs,11535.11
Financial Services#,23413.54
Economic Affairs (centralised provisions),260122.44
Expenditure,13269.67
Disinvestment,1138.78
Food Processing Industries,350.50
Health & Family Welfare,21113.33
"Ayurveda, Yoga & Naturopathy, Unani, Siddha and Homoeopathy(AYUSH)",922.00
Health Research#,606.00
Heavy Industry,812.00
Public Enterprises,17.20
Home Affairs,37299.78
Housing and Urban Poverty Alleviation,857.97
School Education and Literacy,29099.21
Higher Education,15429.00
Information and Broadcasting,2568.00
Labour and Employment,2442.97
Election Commission,21.00
Law and Justice,1678.00
Supreme Court of India,88.02
"Micro, Small and Medium Enterprises",2033.45
Mines,590.00
Minority Affairs,1756.50
New and Renewable Energy,628.00
Overseas Indian Affairs,80.00
Panchayati Raj,110.71
Parliamentary Affairs,8.33
"Personnel, Public Grievances and Pensions",675.50
Petroleum and Natural Gas,3169.00
Planning,519.00
Power,9202.00
"The President, Parliament, Union Public Service Commission and the Secretariat of the Vice-President",686.06
Rural Development,62706.95
Land Resources,2405.64
Drinking Water Supply,9202.84
Science and Technology,2133.00
Scientific and Industrial Research,2691.00
Biotechnology,1024.00
Shipping,1755.53
Road Transport and Highways,19565.00
Social Justice and Empowerment,2585.00
Space,4959.00
Statistics and Programme Implementation,535.27
Steel,115.36
Textiles,5398.00
Tourism,1070.00
Tribal Affairs,819.61
Urban Development,5245.78
Water Resources,1003.00
Women and Child Development,7428.00
Youth Affairs and Sports,3073.00
Railways,14600.00
CENTRAL SECTOR - TOTAL,931596.71
II. STATE PLANS,
Total (A + B),80066.71
A. State Plans (a+b+c+d+e+f),78692.71
a. Agriculture and Cooperation,4107.07
b. Finance,63946.59
c. Panchayati Raj,4670.00
d. Statistics and Programme Implementation,1580.00
e. Road Transport and Highways,1988.55
f. Tribal Affairs,2400.50
B. DONER (g+h+i),1374.00
g. North Eastern Region,624.00
h. Central Pool of Resources for NE and Sikkim,700.00
i. Special Package for Bodoland Territorial Council,50.00
III. UNION TERRITORIES (A+B),9174.26
A. Union Territories with Legislature (i+ii),3549.27
(i) Puducherry,1028.59
B. Union Territories without Legislature (iii+iv+v+vi+vii),5624.99
(iii) Andaman & Nicobar Islands,2689.23
(iv) Chandigarh,1772.56
(v) Dadra & Nagar Haveli,247.13
(vi) Daman & Diu,239.09
(vii) Lakshadweep,676.98
IV. TOTAL CENTRAL ASSISTANCE FOR STATES & UTs (II+III),89240.97
Grand Total,1020837.68
