Ministry,Budget,Percentage_Share
I. CENTRAL SECTOR,7808.1500,0.7649
Agriculture & Cooperation,7715.6000,0.7558
Agricultural Research and Education,3241.4000,0.3175
Animal Husbandry and Dairying,1206.2800,0.1182
Atomic Energy,7773.0000,0.7614
Chemicals and Petro-Chemicals,265.1500,0.0260
Fertilisers,50200.0000,4.9175
Pharmaceuticals@,,
Civil Aviation,887.0000,0.0869
Coal,349.0000,0.0342
Commerce,3652.0000,0.3577
Industrial Policy and Promotion,1186.0000,0.1162
Posts,6021.2600,0.5898
Telecommunications,7854.0000,0.7694
Information Technology,2582.0000,0.2529
Consumer Affairs,467.0000,0.0457
Food and Public Distribution,53262.0000,5.2175
Corporate Affairs,229.6200,0.0225
Culture,1276.0000,0.1250
Defence (Civil estimates),24960.0000,2.4451
Defence Services,141703.0000,13.8811
Development of North Eastern Region,101.4700,0.0099
Earth Sciences,1210.0000,0.1185
Environment and Forests,2129.0000,0.2086
External Affairs,6293.0000,0.6165
Economic Affairs,11535.1100,1.1300
Financial Services#,23413.5400,2.2936
Economic Affairs (centralised provisions),260122.4400,25.4813
Expenditure,13269.6700,1.2999
Disinvestment,1138.7800,0.1116
Food Processing Industries,350.5000,0.0343
Health & Family Welfare,21113.3300,2.0682
"Ayurveda, Yoga & Naturopathy, Unani, Siddha and Homoeopathy(AYUSH)",922.0000,0.0903
Health Research#,606.0000,0.0594
Heavy Industry,812.0000,0.0795
Public Enterprises,17.2000,0.0017
Home Affairs,37299.7800,3.6538
Housing and Urban Poverty Alleviation,857.9700,0.0840
School Education and Literacy,29099.2100,2.8505
Higher Education,15429.0000,1.5114
Information and Broadcasting,2568.0000,0.2516
Labour and Employment,2442.9700,0.2393
Election Commission,21.0000,0.0021
Law and Justice,1678.0000,0.1644
Supreme Court of India,88.0200,0.0086
"Micro, Small and Medium Enterprises",2033.4500,0.1992
Mines,590.0000,0.0578
Minority Affairs,1756.5000,0.1721
New and Renewable Energy,628.0000,0.0615
Overseas Indian Affairs,80.0000,0.0078
Panchayati Raj,110.7100,0.0108
Parliamentary Affairs,8.3300,0.0008
"Personnel, Public Grievances and Pensions",675.5000,0.0662
Petroleum and Natural Gas,3169.0000,0.3104
Planning,519.0000,0.0508
Power,9202.0000,0.9014
"The President, Parliament, Union Public Service Commission and the Secretariat of the Vice-President",686.0600,0.0672
Rural Development,62706.9500,6.1427
Land Resources,2405.6400,0.2357
Drinking Water Supply,9202.8400,0.9015
Science and Technology,2133.0000,0.2089
Scientific and Industrial Research,2691.0000,0.2636
Biotechnology,1024.0000,0.1003
Shipping,1755.5300,0.1720
Road Transport and Highways,19565.0000,1.9166
Social Justice and Empowerment,2585.0000,0.2532
Space,4959.0000,0.4858
Statistics and Programme Implementation,535.2700,0.0524
Steel,115.3600,0.0113
Textiles,5398.0000,0.5288
Tourism,1070.0000,0.1048
Tribal Affairs,819.6100,0.0803
Urban Development,5245.7800,0.5139
Water Resources,1003.0000,0.0983
Women and Child Development,7428.0000,0.7276
Youth Affairs and Sports,3073.0000,0.3010
Railways,14600.0000,1.4302
CENTRAL SECTOR - TOTAL,931596.7100,91.2581
II. STATE PLANS,,
Total (A + B),80066.7100,7.8432
A. State Plans (a+b+c+d+e+f),78692.7100,7.7086
a. Agriculture and Cooperation,4107.0700,0.4023
b. Finance,63946.5900,6.2641
c. Panchayati Raj,4670.0000,0.4575
d. Statistics and Programme Implementation,1580.0000,0.1548
e. Road Transport and Highways,1988.5500,0.1948
f. Tribal Affairs,2400.5000,0.2352
B. DONER (g+h+i),1374.0000,0.1346
g. North Eastern Region,624.0000,0.0611
h. Central Pool of Resources for NE and Sikkim,700.0000,0.0686
i. Special Package for Bodoland Territorial Council,50.0000,0.0049
III. UNION TERRITORIES (A+B),9174.2600,0.8987
A. Union Territories with Legislature (i+ii),3549.2700,0.3477
(i) Puducherry,1028.5900,0.1008
B. Union Territories without Legislature (iii+iv+v+vi+vii),5624.9900,0.5510
(iii) Andaman & Nicobar Islands,2689.2300,0.2634
(iv) Chandigarh,1772.5600,0.1736
(v) Dadra & Nagar Haveli,247.1300,0.0242
(vi) Daman & Diu,239.0900,0.0234
(vii) Lakshadweep,676.9800,0.0663
IV. TOTAL CENTRAL ASSISTANCE FOR STATES & UTs (II+III),89240.9700,8.7419
