model,MAE,RMSE,R2,MAPE_%,n_eval
Naive_Budget_Lag1[with_shares],22696.873636363638,33404.00300277621,0.9081049564981454,12.774786390926588,11
LinearRegression[with_shares],21697.806563688315,26191.146274534,0.9435057728642686,22.037856260617474,11
Ridge(alpha=1.0)[with_shares],22526.79111521712,27747.155240721022,0.9365937618512818,21.465432407696543,11
GradientBoostingRegressor[with_shares],12908.067482507544,16707.312038014243,0.9770116274153373,8.202310577392916,11
Naive_Budget_Lag1[no_shares],22696.873636363638,33404.00300277621,0.9081049564981454,12.774786390926588,11
LinearRegression[no_shares],21325.663379781603,26352.12424157922,0.9428091806763074,21.87650902509393,11
Ridge(alpha=1.0)[no_shares],22244.754538421443,28049.96662136984,0.9352022751803164,20.92631391838487,11
GradientBoostingRegressor[no_shares],11584.406048436116,15540.91597021587,0.9801093816707518,7.25733118290157,11
