Sector_12,Fiscal_Year,Year_End,Prev_Year_Amount,Forecast,Actual
agriculture forestry fishing,24-25,2025,253185.88,422692.62,
communication broadcasting culture and toursim,24-25,2025,262565.88,859928.9,
defense security,24-25,2025,51126.31,59725.492,
economic services,24-25,2025,61298.69,116336.79,
energy and natural resources,24-25,2025,246136.28,313945.72,
food distribution,24-25,2025,209052.25,310523.78,
governance and administration,24-25,2025,94545.62,167224.53,
infrastructure and transport,24-25,2025,352198.4,437786.38,
regional and development,24-25,2025,31008.08,48728.074,
science and innovation,24-25,2025,28905.33,40885.96,
social and services,24-25,2025,252239.36,579933.2,
