MINISTRY/DEPARTMENT,Total
1. Department of Agriculture Cooperation and Farmers' Welfare,129585.21
2. Department of Agricultural Research and Education,8078.76
3. Department of Animal Husbandry Dairying and Fisheries,3100
4. Atomic Energy,16725.51
5. Ministry of Ayurveda Yoga and Naturopathy Unani Siddha and Homoeopathy (AYUSH),1739.76
6. Department of Chemicals and Petrochemicals,263.65
7. Department of Fertilisers,75035
8. Department of Pharmaceuticals,235.51
9. Ministry of Civil Aviation,4500
10. Ministry of Coal,822.05
11. Department of Commerce,6219.32
12. Department of Industrial Policy and Promotion,5674.51
13. Department of Posts,11299.1
14. Department of Telecommunications,27338.36
15. Department of Consumer Affairs,2272.32
16. Department of Food and Public Distribution,192240.39
17. Ministry of Corporate Affairs,553.63
18. Ministry of Culture,3042.35
19. Ministry of Defence (Misc.),17065.12
20. Defence Services (Revenue),198485.76
21. Capital Outlay on Defence Services,103380.34
22. Defence Pensions,112079.57
23. Ministry of Development of North Eastern Region,3000
24. Ministry of Drinking Water and Sanitation,18216.34
25. Ministry of Earth Sciences,1901.76
26. Ministry of Electronics and Information Technology,6420
27. Ministry of Environment Forests and Climate Change,3175.72
28. Ministry of External Affairs,16061.78
29. Department of Economic Affairs,14120.62
30. Department of Expenditure,400.55
31. Department of Financial Services,4690.19
32. Department of Investment and Public Asset Management (DIPAM),47.08
33. Department of Revenue,102048.34
34. Direct Taxes,7336.44
35. Indirect Taxes,7900
36. Indian Audit and Accounts Department,4672.78
37. Interest Payments,665060.92
38. Repayment of Debt,...
39. Pensions,48565
40. Transfers to States,166883.45
41. Ministry of Food Processing Industries,1196.6
42. Department of Health and Family Welfare,61398.12
43. Department of Health Research,1900
44. Department of Heavy Industry,1162
45. Department of Public Enterprises,22.64
46. Ministry of Home Affairs,4895.81
47. Cabinet,828.85
48. Police,98202.23
49. Andaman and Nicobar Islands,4817.48
50. Chandigarh,4291.7
51. Dadra and Nagar Haveli,1177.99
52. Daman and Diu,821.48
53. Lakshadweep,1276.74
54. Transfers  to Delhi,1112
55. Transfers to Puducherry,1545
56. Ministry of Housing and Urban Affairs,48032.17
57. Department of School Education and Literacy,56386.63
58. Department of Higher Education,37461.01
59. Ministry of Information and Broadcasting,4375.21
60. Ministry of Labour and Employment,10434.09
61. Law and Justice,3055.11
62. Election Commission,286.68
63. Supreme Court of India,269.46
64. Ministry of Micro Small and Medium Enterprises,7011.29
65. Ministry of Mines,1497.94
66. Ministry of Minority Affairs,4700
67. Ministry of New and Renewable Energy,5254.83
68. Ministry of Panchayati Raj,871.37
69. Ministry of Parliamentary Affairs,19.38
70. Ministry of Personnel Public Grievances and Pensions,1629.59
71. Central Vigilance Commission,35.55
72. Ministry of Petroleum and Natural Gas,42901.49
73. Ministry of Planning,363.4
74. Ministry of Power,15874.82
75. Staff Household and Allowances of the President,63.78
76. Lok Sabha,809.13
77. Rajya Sabha,401.04
78. Secretariat of the Vice-President,6.98
79. Union Public Service Commission,298.45
80. Ministry of Railways,66768.67
81. Ministry of Road Transport and Highways,83015.97
82. Department of Rural Development,117647.19
83. Department of Land Resources,2227.24
84. Department of Science and Technology,5321.01
85. Department of Biotechnology,2580.34
86. Department of Scientific and Industrial Research,4895.89
87. Ministry of Shipping,1902.56
88. Ministry of Skill Development and Entrepreneurship,2989.21
89. Department of Social Justice and Empowerment,7800
90. Department of Empowerment of Persons with Disabilities,1144.9
91. Department of Space,11538.26
92. Ministry of Statistics and Programme Implementation,5231.06
93. Ministry of Steel,241.29
94. Ministry of Textiles,5831.48
95. Ministry of Tourism,2189.22
96. Ministry of Tribal Affairs,6526.96
97. Ministry of Water Resources River Development and Ganga Rejuvenation,8041.25
98. Ministry of Women and Child Development,29164.9
99. Ministry of Youth Affairs and Sports,2216.92
Grand Total,2784199.55
Finance Commission Grants,131902.22
Other Grants/Loans/Transfers,145096.53
