model,MAE,RMSE,R2,MAPE_%,n_eval
Ensemble_DL3 (resid+emb),25727.25,36022.51207231389,0.893133124863343,13.633431434631348,11
GRU_L3_U32 (resid+emb),28036.30078125,41585.61597475743,0.8575765869617017,16.406999588012695,11
LSTM_L3_U32 (resid+emb),35296.4375,52290.72208336771,0.7748124368081092,17.245220184326172,11
BiGRU_L3_U32 (resid+emb),35733.08203125,51145.11808569807,0.7845713347323332,19.33509635925293,11
TCN_L3_F32_K3 (resid+emb),53908.875,79807.36808089839,0.4754569979278733,26.171171188354492,11
