Sector_12,Fiscal_Year,Budget_Amount,GDP_Growth_Rate,Inflation_CPI,Exchange_Rate_USD,Fiscal_Deficit_GDP,Global_GDP_Growth,Election_Year,High_Inflation,GDP_Growth_Lag1,Inflation_Lag1,Sector_Share_GDP,Sector_Share_Lag1,Sector_Share_Growth,Budget_Lag1,Budget_Lag2,Budget_Growth_Lag1,Trend,Inflation_x_Election,GDPGrowth_x_Election
infrastructure and transport,11-12,36931.34,5.45638755166587,8.4,47.92,5.9,3.5,0.0,1.0,5.24131619937695,10.5,3.0,3.0,0.0,34495.16,27453.31,0.07062382084906971,6,0.0,0.0
infrastructure and transport,12-13,45042.49,6.38610640094825,10.2,53.21,5.9,3.4,0.0,1.0,5.45638755166587,8.4,3.1,3.0,0.03333333333333344,36931.34,34495.16,0.21962782828892746,7,0.0,0.0
infrastructure and transport,13-14,46900.83,7.41022760508854,9.4,60.5,4.5,3.6,0.0,1.0,6.38610640094825,10.2,3.1,3.1,0.0,45042.49,36931.34,0.041257488207246285,8,0.0,0.0
infrastructure and transport,15-16,60815.81,8.25630550179086,4.9,65.46,3.9,3.3,0.0,0.0,7.99625378571471,5.9,3.2,3.1,0.032258064516129004,46900.83,45042.49,0.2966894189292597,9,0.0,0.0
infrastructure and transport,16-17,68566.28,6.79538341897911,4.5,67.07,3.5,3.8,0.0,0.0,8.25630550179086,4.9,3.2,3.2,0.0,60815.81,46900.83,0.12744169649306647,10,0.0,0.0
infrastructure and transport,17-18,103586.84,6.45385134497769,3.6,64.45,3.5,3.6,0.0,0.0,6.79538341897911,4.5,3.3,3.2,0.031249999999999778,68566.28,60815.81,0.5107548491765923,11,0.0,0.0
infrastructure and transport,18-19,121249.12,3.87143694070356,3.4,69.92,3.4,2.8,0.0,0.0,6.45385134497769,3.6,3.3,3.3,0.0,103586.84,68566.28,0.17050698718099722,12,0.0,0.0
infrastructure and transport,19-20,137450.7,5.77772470686801,4.8,74.53,4.6,-2.9,1.0,1.0,3.87143694070356,3.4,3.4,3.3,0.030303030303030276,121249.12,103586.84,0.13362224814497647,13,4.8,5.77772470686801
infrastructure and transport,20-21,147460.83000000002,9.68959249192875,6.2,73.23,9.2,6.2,0.0,0.0,5.77772470686801,4.8,3.4,3.4,0.0,137450.7,121249.12,0.07282705726489569,14,0.0,0.0
infrastructure and transport,21-22,177609.02,7.60936497768895,5.5,74.57,6.7,3.4,0.0,1.0,9.68959249192875,6.2,3.5,3.4,0.02941176470588247,147460.83000000002,137450.7,0.2044488017597621,15,0.0,0.0
infrastructure and transport,22-23,288033.67,9.19075493028345,6.7,81.35,6.4,2.8,0.0,0.0,7.60936497768895,5.5,3.5,3.5,0.0,177609.02,147460.83000000002,0.6217288401230974,16,0.0,0.0
infrastructure and transport,23-24,352198.41000000003,6.48422363033757,5.4,81.94,5.6,3.2,0.0,0.0,9.19075493028345,6.7,3.5,3.5,0.0,288033.67,177609.02,0.22276819234362444,17,0.0,0.0
regional and development,05-06,3237.56,8.06073257166651,4.2,44.27,4.0,4.1,0.0,0.0,,3.8,2.8,,,,,,1,0.0,0.0
regional and development,06-07,4474.14,7.6608150670107,6.6,45.28,3.4,4.3,0.0,1.0,8.06073257166651,4.2,3.0,2.8,0.0714285714285714,3237.56,,0.3819481337797601,2,0.0,0.0
regional and development,07-08,4381.32,3.08669805921981,6.2,40.24,2.7,3.0,0.0,1.0,7.6608150670107,6.6,3.2,3.0,0.06666666666666665,4474.14,3237.56,-0.02074588636028385,3,0.0,0.0
regional and development,09-10,4429.92,8.49758470221235,12.3,47.42,6.4,4.6,1.0,1.0,7.86188883286074,9.1,4.0,3.2,0.25,4381.32,4474.14,0.01109254745145316,4,12.3,8.49758470221235
regional and development,10-11,4701.379999999999,5.24131619937695,10.5,45.58,6.5,3.3,0.0,1.0,8.49758470221235,12.3,4.2,4.0,0.050000000000000044,4429.92,4381.32,0.06127875898436064,5,0.0,0.0
regional and development,11-12,5715.32,5.45638755166587,8.4,47.92,5.9,3.5,0.0,1.0,5.24131619937695,10.5,4.5,4.2,0.0714285714285714,4701.379999999999,4429.92,0.21566859092436697,6,0.0,0.0
regional and development,12-13,6393.98,6.38610640094825,10.2,53.21,5.9,3.4,0.0,1.0,5.45638755166587,8.4,4.3,4.5,-0.04444444444444451,5715.32,4701.379999999999,0.11874400733467239,7,0.0,0.0
regional and development,13-14,7001.549999999999,7.41022760508854,9.4,60.5,4.5,3.6,0.0,1.0,6.38610640094825,10.2,4.1,4.3,-0.04651162790697683,6393.98,5715.32,0.09502219275005541,8,0.0,0.0
regional and development,15-16,6443.86,8.25630550179086,4.9,65.46,3.9,3.3,0.0,0.0,7.99625378571471,5.9,3.8,4.1,-0.07317073170731703,7001.549999999999,6393.98,-0.0796523626911183,9,0.0,0.0
regional and development,16-17,5700.59,6.79538341897911,4.5,67.07,3.5,3.8,0.0,0.0,8.25630550179086,4.9,3.6,3.8,-0.05263157894736836,6443.86,7001.549999999999,-0.11534546064005113,10,0.0,0.0
regional and development,17-18,17499.37,6.45385134497769,3.6,64.45,3.5,3.6,0.0,0.0,6.79538341897911,4.5,3.4,3.6,-0.05555555555555558,5700.59,6443.86,2.06974716652136,11,0.0,0.0
regional and development,18-19,19523.86,3.87143694070356,3.4,69.92,3.4,2.8,0.0,0.0,6.45385134497769,3.6,3.2,3.4,-0.05882352941176461,17499.37,5700.59,0.11568930767221919,12,0.0,0.0
regional and development,19-20,20871.4,5.77772470686801,4.8,74.53,4.6,-2.9,1.0,1.0,3.87143694070356,3.4,3.0,3.2,-0.0625,19523.86,17499.37,0.06902016302104208,13,4.8,5.77772470686801
regional and development,20-21,23034.99,9.68959249192875,6.2,73.23,9.2,6.2,0.0,0.0,5.77772470686801,4.8,3.1,3.0,0.03333333333333344,20871.4,19523.86,0.10366290713608106,14,0.0,0.0
regional and development,21-22,23025.15,7.60936497768895,5.5,74.57,6.7,3.4,0.0,1.0,9.68959249192875,6.2,3.2,3.1,0.032258064516129004,23034.99,20871.4,-0.00042717622191279503,15,0.0,0.0
regional and development,22-23,25407.49,9.19075493028345,6.7,81.35,6.4,2.8,0.0,0.0,7.60936497768895,5.5,3.3,3.2,0.031249999999999778,23025.15,23034.99,0.1034668612365175,16,0.0,0.0
regional and development,23-24,31008.08,6.48422363033757,5.4,81.94,5.6,3.2,0.0,0.0,9.19075493028345,6.7,3.3,3.3,0.0,25407.49,23025.15,0.22043066827931446,17,0.0,0.0
science and innovation,05-06,6799.6,8.06073257166651,4.2,44.27,4.0,4.1,0.0,0.0,,3.8,0.74,,,,,,1,0.0,0.0
science and innovation,06-07,7640.6,7.6608150670107,6.6,45.28,3.4,4.3,0.0,1.0,8.06073257166651,4.2,0.77,0.74,0.04054054054054057,6799.6,,0.12368374610271182,2,0.0,0.0
science and innovation,07-08,8230.3,3.08669805921981,6.2,40.24,2.7,3.0,0.0,1.0,7.6608150670107,6.6,0.77,0.77,0.0,7640.6,6799.6,0.07717980263330082,3,0.0,0.0
science and innovation,09-10,10807.0,8.49758470221235,12.3,47.42,6.4,4.6,1.0,1.0,7.86188883286074,9.1,0.82,0.77,0.06493506493506485,8230.3,7640.6,0.31307485753860753,4,12.3,8.49758470221235
science and innovation,10-11,12357.0,5.24131619937695,10.5,45.58,6.5,3.3,0.0,1.0,8.49758470221235,12.3,0.75,0.82,-0.08536585365853655,10807.0,8230.3,0.14342555750902197,5,0.0,0.0
science and innovation,11-12,14170.92,5.45638755166587,8.4,47.92,5.9,3.5,0.0,1.0,5.24131619937695,10.5,0.84,0.75,0.11999999999999988,12357.0,10807.0,0.146792910900704,6,0.0,0.0
science and innovation,12-13,14572.61,6.38610640094825,10.2,53.21,5.9,3.4,0.0,1.0,5.45638755166587,8.4,0.82,0.84,-0.023809523809523836,14170.92,12357.0,0.02834607774230613,7,0.0,0.0
science and innovation,13-14,15049.33,7.41022760508854,9.4,60.5,4.5,3.6,0.0,1.0,6.38610640094825,10.2,0.8,0.82,-0.024390243902438935,14572.61,14170.92,0.03271342607810124,8,0.0,0.0
science and innovation,15-16,16880.03,8.25630550179086,4.9,65.46,3.9,3.3,0.0,0.0,7.99625378571471,5.9,0.69,0.8,-0.13750000000000007,15049.33,14572.61,0.12164661151027989,9,0.0,0.0
science and innovation,16-17,17862.14,6.79538341897911,4.5,67.07,3.5,3.8,0.0,0.0,8.25630550179086,4.9,0.75,0.69,0.0869565217391306,16880.03,15049.33,0.05818176863429758,10,0.0,0.0
science and innovation,17-18,20579.09,6.45385134497769,3.6,64.45,3.5,3.6,0.0,0.0,6.79538341897911,4.5,0.7,0.75,-0.06666666666666676,17862.14,16880.03,0.1521066344794073,11,0.0,0.0
science and innovation,18-19,23105.7,3.87143694070356,3.4,69.92,3.4,2.8,0.0,0.0,6.45385134497769,3.6,0.66,0.7,-0.05714285714285705,20579.09,17862.14,0.12277559406173943,12,0.0,0.0
science and innovation,19-20,24335.5,5.77772470686801,4.8,74.53,4.6,-2.9,1.0,1.0,3.87143694070356,3.4,0.66,0.66,0.0,23105.7,20579.09,0.05322496180596126,13,4.8,5.77772470686801
science and innovation,20-21,27952.76,9.68959249192875,6.2,73.23,9.2,6.2,0.0,0.0,5.77772470686801,4.8,0.64,0.66,-0.030303030303030276,24335.5,23105.7,0.14864128536500165,14,0.0,0.0
science and innovation,21-22,28743.120000000003,7.60936497768895,5.5,74.57,6.7,3.4,0.0,1.0,9.68959249192875,6.2,0.64,0.64,0.0,27952.76,24335.5,0.028274846562557743,15,0.0,0.0
science and innovation,22-23,27917.46,9.19075493028345,6.7,81.35,6.4,2.8,0.0,0.0,7.60936497768895,5.5,0.65,0.64,0.015625,28743.120000000003,27952.76,-0.028725482828586557,16,0.0,0.0
science and innovation,23-24,28905.33,6.48422363033757,5.4,81.94,5.6,3.2,0.0,0.0,9.19075493028345,6.7,0.65,0.65,0.0,27917.46,28743.120000000003,0.03538538248107104,17,0.0,0.0
social and services,05-06,28608.45,8.06073257166651,4.2,44.27,4.0,4.1,0.0,0.0,,3.8,5.0,,,,,,1,0.0,0.0
social and services,06-07,48197.7,7.6608150670107,6.6,45.28,3.4,4.3,0.0,1.0,8.06073257166651,4.2,5.1,5.0,0.020000000000000018,28608.45,,0.6847365026766565,2,0.0,0.0
social and services,07-08,60391.79,3.08669805921981,6.2,40.24,2.7,3.0,0.0,1.0,7.6608150670107,6.6,5.2,5.1,0.019607843137255054,48197.7,28608.45,0.25300149177242903,3,0.0,0.0
social and services,09-10,86266.54000000001,8.49758470221235,12.3,47.42,6.4,4.6,1.0,1.0,7.86188883286074,9.1,5.3,5.2,0.019230769230769162,60391.79,48197.7,0.42844813839761997,4,12.3,8.49758470221235
social and services,10-11,99508.37,5.24131619937695,10.5,45.58,6.5,3.3,0.0,1.0,8.49758470221235,12.3,5.3,5.3,0.0,86266.54000000001,60391.79,0.15349902754880373,5,0.0,0.0
social and services,11-12,110655.0,5.45638755166587,8.4,47.92,5.9,3.5,0.0,1.0,5.24131619937695,10.5,5.4,5.3,0.018867924528301883,99508.37,86266.54000000001,0.1120170092224404,6,0.0,0.0
social and services,12-13,135191.11,6.38610640094825,10.2,53.21,5.9,3.4,0.0,1.0,5.45638755166587,8.4,5.5,5.4,0.01851851851851838,110655.0,99508.37,0.22173521304956845,7,0.0,0.0
social and services,13-14,145720.07,7.41022760508854,9.4,60.5,4.5,3.6,0.0,1.0,6.38610640094825,10.2,5.6,5.5,0.018181818181818077,135191.11,110655.0,0.07788204416695765,8,0.0,0.0
social and services,15-16,53316.64,8.25630550179086,4.9,65.46,3.9,3.3,0.0,0.0,7.99625378571471,5.9,5.9,5.6,0.0535714285714286,145720.07,135191.11,-0.6341160143554694,9,0.0,0.0
social and services,16-17,70287.81,6.79538341897911,4.5,67.07,3.5,3.8,0.0,0.0,8.25630550179086,4.9,6.0,5.9,0.016949152542372836,53316.64,145720.07,0.3183090682383585,10,0.0,0.0
social and services,17-18,159412.99,6.45385134497769,3.6,64.45,3.5,3.6,0.0,0.0,6.79538341897911,4.5,6.1,6.0,0.016666666666666607,70287.81,53316.64,1.2680033707125031,11,0.0,0.0
social and services,18-19,181379.93,3.87143694070356,3.4,69.92,3.4,2.8,0.0,0.0,6.45385134497769,3.6,6.1,6.1,0.0,159412.99,70287.81,0.1377989334495262,12,0.0,0.0
social and services,19-20,204242.16,5.77772470686801,4.8,74.53,4.6,-2.9,1.0,1.0,3.87143694070356,3.4,6.4,6.1,0.049180327868852514,181379.93,159412.99,0.1260460845916085,13,4.8,5.77772470686801
social and services,20-21,215154.24,9.68959249192875,6.2,73.23,9.2,6.2,0.0,0.0,5.77772470686801,4.8,8.3,6.4,0.296875,204242.16,181379.93,0.05342716704523687,14,0.0,0.0
social and services,21-22,209816.52,7.60936497768895,5.5,74.57,6.7,3.4,0.0,1.0,9.68959249192875,6.2,8.6,8.3,0.036144578313252795,215154.24,204242.16,-0.0248088069284621,15,0.0,0.0
social and services,22-23,234637.34,9.19075493028345,6.7,81.35,6.4,2.8,0.0,0.0,7.60936497768895,5.5,7.2,8.6,-0.16279069767441856,209816.52,215154.24,0.11829773937724264,16,0.0,0.0
social and services,23-24,252239.36,6.48422363033757,5.4,81.94,5.6,3.2,0.0,0.0,9.19075493028345,6.7,6.5,7.2,-0.09722222222222221,234637.34,209816.52,0.07501798307123653,17,0.0,0.0
