Sector_12,Fiscal_Year,Budget_Amount,GDP_Growth_Rate,Inflation_CPI,Exchange_Rate_USD,Fiscal_Deficit_GDP,Global_GDP_Growth,Election_Year,High_Inflation,GDP_Growth_Lag1,Inflation_Lag1,Sector_Share_GDP,Sector_Share_Lag1,Sector_Share_Growth,Budget_Lag1,Budget_Lag2,Budget_Growth_Lag1,Trend,Inflation_x_Election,GDPGrowth_x_Election
communication broadcasting culture and toursim,17-18,49264.71,6.45385134497769,3.6,64.45,3.5,3.6,0.0,0.0,6.79538341897911,4.5,18.2,18.1,0.0055248618784529135,59671.0,34711.33,-0.17439442945484407,11,0.0,0.0
communication broadcasting culture and toursim,18-19,98490.44,3.87143694070356,3.4,69.92,3.4,2.8,0.0,0.0,6.45385134497769,3.6,18.3,18.2,0.005494505494505475,49264.71,59671.0,0.9992087642452376,12,0.0,0.0
communication broadcasting culture and toursim,19-20,181207.1,5.77772470686801,4.8,74.53,4.6,-2.9,1.0,1.0,3.87143694070356,3.4,18.2,18.3,-0.005464480874317057,98490.44,49264.71,0.8398445575022306,13,4.8,5.77772470686801
communication broadcasting culture and toursim,20-21,230130.90999999997,9.68959249192875,6.2,73.23,9.2,6.2,0.0,0.0,5.77772470686801,4.8,18.6,18.2,0.021978021978022122,181207.1,98490.44,0.26998837242028584,14,0.0,0.0
communication broadcasting culture and toursim,21-22,214101.45,7.60936497768895,5.5,74.57,6.7,3.4,0.0,1.0,9.68959249192875,6.2,18.6,18.6,0.0,230130.90999999997,181207.1,-0.06965365930200318,15,0.0,0.0
communication broadcasting culture and toursim,22-23,250087.59,9.19075493028345,6.7,81.35,6.4,2.8,0.0,0.0,7.60936497768895,5.5,18.5,18.6,-0.005376344086021612,214101.45,230130.90999999997,0.16807985186461827,16,0.0,0.0
communication broadcasting culture and toursim,23-24,262565.88,6.48422363033757,5.4,81.94,5.6,3.2,0.0,0.0,9.19075493028345,6.7,17.5,18.5,-0.05405405405405406,250087.59,214101.45,0.04989567855006327,17,0.0,0.0
defense security,05-06,113967.82,8.06073257166651,4.2,44.27,4.0,4.1,0.0,0.0,,3.8,1.8,,,,,,1,0.0,0.0
defense security,06-07,48266.09,7.6608150670107,6.6,45.28,3.4,4.3,0.0,1.0,8.06073257166651,4.2,1.8,1.8,0.0,113967.82,,-0.5764936979578973,2,0.0,0.0
defense security,07-08,54387.39,3.08669805921981,6.2,40.24,2.7,3.0,0.0,1.0,7.6608150670107,6.6,1.8,1.8,0.0,48266.09,113967.82,0.12682402904399348,3,0.0,0.0
defense security,09-10,87219.78,8.49758470221235,12.3,47.42,6.4,4.6,1.0,1.0,7.86188883286074,9.1,1.9,1.8,0.05555555555555558,54387.39,48266.09,0.6036765139860545,4,12.3,8.49758470221235
defense security,10-11,329832.97,5.24131619937695,10.5,45.58,6.5,3.3,0.0,1.0,8.49758470221235,12.3,2.0,1.9,0.05263157894736836,87219.78,54387.39,2.7816303824659956,5,0.0,0.0
defense security,11-12,249362.15,5.45638755166587,8.4,47.92,5.9,3.5,0.0,1.0,5.24131619937695,10.5,2.0,2.0,0.0,329832.97,87219.78,-0.2439744577384122,6,0.0,0.0
defense security,12-13,141818.58,6.38610640094825,10.2,53.21,5.9,3.4,0.0,1.0,5.45638755166587,8.4,2.0,2.0,0.0,249362.15,329832.97,-0.4312746341014465,7,0.0,0.0
