,MAE,R2
Enhanced_Linear,5338.198130817857,0.9383459879140329
Enhanced_Ridge,5404.579593600077,0.9400232629923377
Enhanced_RF,2805.3748227906945,0.9631449320110356
Enhanced_GBM,3058.5214240303767,0.9529641493472885
