Fiscal_Year,GDP_Growth_Rate,Inflation_CPI,Exchange_Rate_USD,Current_Account_GDP,Global_GDP_Growth,Election_Year,High_Inflation,GDP_Growth_Lag1,Inflation_Lag1
05-06,8.06073257166651,5.79652337561634,45.3070083333333,-0.988988302952292,4.47122116709618,0.0,0,,
06-07,7.6608150670107,6.37288135593231,41.3485333333333,-0.66371764877261,4.38558322159378,0.0,1,8.06073257166651,5.79652337561634
07-08,3.08669805921981,8.34926704907581,43.5051833333333,-2.58337749259838,2.07395272619111,0.0,1,7.6608150670107,6.37288135593231
08-09,7.86188883286074,10.8823529411764,48.4052666666666,-1.95146209111802,-1.31959822434678,0.0,1,3.08669805921981,8.34926704907581
09-10,8.49758470221235,11.9893899204244,45.7258121212121,-3.25348368945179,4.52714707154176,1.0,1,7.86188883286074,10.8823529411764
10-11,5.24131619937695,8.91179336483371,46.6704666666667,-3.42928468606061,3.34731098254233,0.0,1,8.49758470221235,11.9893899204244
11-12,5.45638755166587,9.47899691419801,53.4372333333333,-5.00488971805303,2.70728114800572,0.0,1,5.24131619937695,8.91179336483371
12-13,6.38610640094825,10.0178784746102,58.5978454166667,-2.64566711733892,2.88902201263855,0.0,1,5.45638755166587,9.47899691419801
13-14,7.41022760508854,6.66565671867899,61.0295144607843,-1.33950896483453,3.14862374821116,0.0,1,6.38610640094825,10.0178784746102
14-15,7.99625378571471,4.90697344127256,64.1519444632786,-1.06754907167965,3.13451532534145,1.0,0,7.41022760508854,6.66565671867899
15-16,8.25630550179086,4.94821634062141,67.1953128073894,-0.52788060603752,2.8143608967909,0.0,0,7.99625378571471,4.90697344127256
16-17,6.79538341897911,3.32817337461298,65.1215686450659,-1.43948820320989,3.45634160134833,0.0,0,8.25630550179086,4.94821634062141
17-18,6.45385134497769,3.9388264669163,68.3894670935422,-2.42697545810527,3.29609128087938,0.0,0,6.79538341897911,3.32817337461298
18-19,3.87143694070356,3.72950573539129,70.4203405359551,-1.04961203910072,2.71004016031682,0.0,0,6.45385134497769,3.9388264669163
19-20,-5.77772470686801,6.62343677628535,74.0995668836052,1.22362111042791,-2.84908234670684,1.0,1,3.87143694070356,3.72950573539129
20-21,9.68959249192875,5.13140747176369,73.9180128154351,-1.05524166809383,6.41954127739844,0.0,0,-5.77772470686801,6.62343677628535
21-22,7.60936497768895,6.69903414079852,78.6044905829916,-2.36247481487452,3.35991138278713,0.0,1,9.68959249192875,5.13140747176369
22-23,9.19075493028345,5.64914318907925,82.5992764460784,-0.878449448896405,2.94333273070453,0.0,0,7.60936497768895,6.69903414079852
23-24,6.48422363033757,4.95303550973656,83.669281580941,-0.828801355740078,2.86326302627855,0.0,0,9.19075493028345,5.64914318907925
24-25,,,,,,,,6.48422363033757,4.95303550973656
