Ministry,Budget,Percentage_Share
1.    Department of Agriculture and Farmers Welfare,124000.0000,3.1433
2.    Department of Agricultural Research and Education,8513.6200,0.2158
3.    Atomic Energy,22723.5800,0.5760
4.    Ministry of Ayush,3050.0000,0.0773
5.    Department of Chemicals and Petrochemicals,209.0000,0.0053
6.    Department of Fertilisers,105262.2300,2.6683
7.    Department of Pharmaceuticals,2244.1500,0.0569
8.    Ministry of Civil Aviation,10667.0000,0.2704
9.    Ministry of Coal,393.2400,0.0100
10.    Department of Commerce,6073.0000,0.1539
11.    Department for Promotion of Industry and Internal Trade,8348.0000,0.2116
12.    Department of Posts,20820.0200,0.5278
13.    Department of Telecommunications,84586.8000,2.1442
14.    Department of Consumer Affairs,1724.8800,0.0437
15.    Department of Food and Public Distribution,215959.5800,5.4744
16.    Ministry of Cooperation,900.0000,0.0228
17.    Ministry of Corporate Affairs,733.0200,0.0186
18.    Ministry of Culture,3009.0500,0.0763
19.    Ministry of Defence (Civil),20100.0000,0.5095
20.    Defence Services (Revenue),233000.5400,5.9064
21.    Capital Outlay on Defence Services,152369.6100,3.8624
22.    Defence Pensions,119696.0000,3.0342
23.    Ministry of Development of North Eastern Region,2800.0000,0.0710
24.    Ministry of Earth Sciences,2653.5100,0.0673
25.    Department of School Education and Literacy,63449.3700,1.6084
26.    Department of Higher Education,40828.3500,1.0350
27.    Ministry of Electronics and Information Technology,14300.0000,0.3625
28.    Ministry of Environment Forests and Climate Change,3030.0000,0.0768
29.    Ministry of External Affairs,17250.0000,0.4373
30.    Department of Economic Affairs,14540.2600,0.3686
31.    Department of Expenditure,476.8900,0.0121
32.    Department of Financial Services,5313.7300,0.1347
33.    Department of Public Enterprises,30.0000,0.0008
34.    Department of Investment and Public Asset Management (DIPAM),290.4200,0.0074
35.    Department of Revenue,121231.2900,3.0731
36.    Direct Taxes,9306.8000,0.2359
37.    Indirect Taxes,41138.6700,1.0428
38.    Indian Audit and Accounts Department,5620.1400,0.1425
39.    Interest Payments,940651.0200,23.8447
40.    Repayment of Debt,,
41.    Pensions,65840.8100,1.6690
42.    Transfers to States,334339.4200,8.4752
43.    Department of Fisheries,2118.4700,0.0537
44.    Department of Animal Husbandry and Dairying,3918.8400,0.0993
45.    Ministry of Food Processing Industries,2941.9900,0.0746
46.    Department of Health and Family Welfare,83000.0000,2.1040
47.    Department of Health Research,3200.6500,0.0811
48.    Ministry of Heavy Industries,3306.0000,0.0838
49.    Ministry of Home Affairs,7621.0000,0.1932
50.    Cabinet,1711.0400,0.0434
51.    Police,117687.9900,2.9833
52.    Andaman and Nicobar Islands,5703.6500,0.1446
60.    Ministry of Housing and Urban Affairs,76549.4600,1.9405
61.    Ministry of Information and Broadcasting,3980.7700,0.1009
62.    Department of Water Resources River Development and Ganga Rejuvenation,18967.8800,0.4808
63.    Department of Drinking Water and Sanitation,67221.1200,1.7040
64.    Ministry of Labour and Employment,16893.6800,0.4282
65.    Law and Justice,3393.4800,0.0860
66.    Election Commission,260.0000,0.0066
67.    Supreme Court of India,401.4600,0.0102
68.    Ministry of Micro Small and Medium Enterprises,21422.0000,0.5430
69.    Ministry of Mines,1508.0000,0.0382
70.    Ministry of Minority Affairs,5020.5000,0.1273
71.    Ministry of New and Renewable Energy,6900.6800,0.1749
72.    Ministry of Panchayati Raj,868.5700,0.0220
73.    Ministry of Parliamentary Affairs,66.4000,0.0017
74.    Ministry of Personnel Public Grievances and Pensions,2337.1800,0.0592
75.    Central Vigilance Commission,41.9600,0.0011
76.    Ministry of Petroleum and Natural Gas,8939.8600,0.2266
77.    Ministry of Planning,321.4200,0.0081
78.    Ministry of Ports Shipping and Waterways,1709.5000,0.0433
79.    Ministry of Power,16074.7400,0.4075
80.    Staff Household and Allowances of the President,79.4500,0.0020
81.    Lok Sabha,800.0000,0.0203
82.    Rajya Sabha,430.9600,0.0109
83.    Secretariat of the Vice-President,8.6400,0.0002
84.    Union Public Service Commission,330.5800,0.0084
85.    Ministry of Railways,140367.1300,3.5582
86.    Ministry of Road Transport and Highways,199107.7100,5.0472
87.    Department of Rural Development,135944.2900,3.4461
88.    Department of Land Resources,2259.3400,0.0573
89.    Department of Science and Technology,6000.0000,0.1521
90.    Department of Biotechnology,2581.0000,0.0654
91.    Department of Scientific and Industrial Research,5636.4600,0.1429
92.    Ministry of Skill Development and Entrepreneurship,2999.0000,0.0760
93.    Department of Social Justice and Empowerment,11922.5100,0.3022
94.    Department of Empowerment of Persons with Disabilities,1212.4200,0.0307
95.    Department of Space,13700.0000,0.3473
96.    Ministry of Statistics and Programme Implementation,5398.0800,0.1368
97.    Ministry of Steel,47.0000,0.0012
98.    Ministry of Textiles,12382.1400,0.3139
99.    Ministry of Tourism,2400.0000,0.0608
100.    Ministry of Tribal Affairs,8451.9200,0.2142
101.    Ministry of Women and Child Development,25172.2800,0.6381
102.    Ministry of Youth Affairs and Sports,3062.6000,0.0776
