MINISTRY/DEPARTMENT,Total
1.    Department of Agriculture and Farmers Welfare,124000.00
2.    Department of Agricultural Research and Education,8513.62
3.    Atomic Energy,22723.58
4.    Ministry of Ayush,3050.00
5.    Department of Chemicals and Petrochemicals,209.00
6.    Department of Fertilisers,105262.23
7.    Department of Pharmaceuticals,2244.15
8.    Ministry of Civil Aviation,10667.00
9.    Ministry of Coal,393.24
10.    Department of Commerce,6073.00
11.    Department for Promotion of Industry and Internal Trade,8348.00
12.    Department of Posts,20820.02
13.    Department of Telecommunications,84586.80
14.    Department of Consumer Affairs,1724.88
15.    Department of Food and Public Distribution,215959.58
16.    Ministry of Cooperation,900.00
17.    Ministry of Corporate Affairs,733.02
18.    Ministry of Culture,3009.05
19.    Ministry of Defence (Civil),20100.00
20.    Defence Services (Revenue),233000.54
21.    Capital Outlay on Defence Services,152369.61
22.    Defence Pensions,119696.00
23.    Ministry of Development of North Eastern Region,2800.00
24.    Ministry of Earth Sciences,2653.51
25.    Department of School Education and Literacy,63449.37
26.    Department of Higher Education,40828.35
27.    Ministry of Electronics and Information Technology,14300.00
28.    Ministry of Environment Forests and Climate Change,3030
29.    Ministry of External Affairs,17250.00
30.    Department of Economic Affairs,14540.26
31.    Department of Expenditure,476.89
32.    Department of Financial Services,5313.73
33.    Department of Public Enterprises,30.00
34.    Department of Investment and Public Asset Management (DIPAM),290.42
35.    Department of Revenue,121231.29
36.    Direct Taxes,9306.80
37.    Indirect Taxes,41138.67
38.    Indian Audit and Accounts Department,5620.14
39.    Interest Payments,940651.02
40.    Repayment of Debt,...
41.    Pensions,65840.81
42.    Transfers to States,334339.42
43.    Department of Fisheries,2118.47
44.    Department of Animal Husbandry and Dairying,3918.84
45.    Ministry of Food Processing Industries,2941.99
46.    Department of Health and Family Welfare,83000.00
47.    Department of Health Research,3200.65
48.    Ministry of Heavy Industries,3306.00
49.    Ministry of Home Affairs,7621.00
50.    Cabinet,1711.04
51.    Police,117687.99
52.    Andaman and Nicobar Islands,5703.65
60.    Ministry of Housing and Urban Affairs,76549.46
61.    Ministry of Information and Broadcasting,3980.77
62.    Department of Water Resources River Development and Ganga Rejuvenation,18967.88
63.    Department of Drinking Water and Sanitation,67221.12
64.    Ministry of Labour and Employment,16893.68
65.    Law and Justice,3393.48
66.    Election Commission,260.00
67.    Supreme Court of India,401.46
68.    Ministry of Micro Small and Medium Enterprises,21422
69.    Ministry of Mines,1508.00
70.    Ministry of Minority Affairs,5020.50
71.    Ministry of New and Renewable Energy,6900.68
72.    Ministry of Panchayati Raj,868.57
73.    Ministry of Parliamentary Affairs,66.40
74.    Ministry of Personnel Public Grievances and Pensions,2337.18
75.    Central Vigilance Commission,41.96
76.    Ministry of Petroleum and Natural Gas,8939.86
77.    Ministry of Planning,321.42
78.    Ministry of Ports Shipping and Waterways,1709.5
79.    Ministry of Power,16074.74
80.    Staff Household and Allowances of the President,79.45
81.    Lok Sabha,800.00
82.    Rajya Sabha,430.96
83.    Secretariat of the Vice-President,8.64
84.    Union Public Service Commission,330.58
85.    Ministry of Railways,140367.13
86.    Ministry of Road Transport and Highways,199107.71
87.    Department of Rural Development,135944.29
88.    Department of Land Resources,2259.34
89.    Department of Science and Technology,6000.00
90.    Department of Biotechnology,2581.00
91.    Department of Scientific and Industrial Research,5636.46
92.    Ministry of Skill Development and Entrepreneurship,2999.00
93.    Department of Social Justice and Empowerment,11922.51
94.    Department of Empowerment of Persons with Disabilities,1212.42
95.    Department of Space,13700.00
96.    Ministry of Statistics and Programme Implementation,5398.08
97.    Ministry of Steel,47.00
98.    Ministry of Textiles,12382.14
99.    Ministry of Tourism,2400.00
100.    Ministry of Tribal Affairs,8451.92
101.    Ministry of Women and Child Development,25172.28
102.    Ministry of Youth Affairs and Sports,3062.60
GRAND TOTAL,3944908.67
