MINISTRY/DEPARTMENT,Total
Agriculture & Cooperation,5179.16
Agricultural Research and Education,2160.00
"Animal Husbandry, Dairying and Fisheries",819.86
Agro and Rural Industries,1054.63
Atomic Energy,5505.08
Chemicals and Petro-Chemicals,169.40
Fertilisers,17385.81
Civil Aviation,448.60
Coal,205.71
Commerce,2481.29
Industrial Policy and Promotion,600.32
Posts,1765.20
Telecommunications,3166.46
Information Technology,1126.00
Company Affairs,145.00
Consumer Affairs,198.00
Food and Public Distribution,24595.80
Culture,820.00
Defence (Civil estimates),15123.84
Defence Services,89000.00
Development of North Eastern Region,62.79
Environment and Forests,1520.14
External Affairs,3695.05
Economic Affairs,5738.19
Economic Affairs (centralised provisions),169511.60
Expenditure,7998.36
Disinvestment,3850.05
Food Processing Industries,173.70
Health,12545.88
"Ayurveda, Yoga & Naturopathy, Unani, Siddha and Homoeopathy (AYUSH)",447.89
Heavy Industry,905.84
Public Enterprises,35.32
Home Affairs,18018.41
Elementary Education and Literacy,17132.71
Secondary Education and Higher Education,6982.28
Women and Child Development,4852.94
Information and Broadcasting,1716.00
Labour and Employment,1481.36
Election Commission,12.50
Law and Justice,872.95
Supreme Court of India,43.27
Mines,495.02
Non-Conventional Energy Sources,603.64
Overseas Indian Affairs,38.00
Ocean Development,475.75
Panchayati Raj,75.73
Parliamentary Affairs,6.00
"Personnel, Public Grievances and Pensions",345.30
Petroleum and Natural Gas,3106.62
Planning,123.83
Power,5567.00
"The President, Parliament, Union Public Service Commission and the Secretariat of the Vice-President",430.07
Rural Development,24047.56
Land Resources,1421.70
Drinking Water Supply,6001.70
Science and Technology,1746.00
Scientific and Industrial Research,1750.00
Biotechnology,534.60
Shipping,1236.67
Road Transport and Highways,13741.31
Small Scale Industries,524.24
Social Justice and Empowerment,1817.60
Space,3610.00
Statistics and Programme Implementation,236.57
Steel,129.50
Textiles,3045.75
Tourism,872.82
Tribal Affairs,450.75
Urban Development,3206.26
Urban Employment and Poverty Alleviation,431.67
Water Resources,961.51
Youth Affairs and Sports,669.00
Minority Affairs@,2.00
Railways,6800.14
Central Ministries/Departments Total,520150.81
STATE PLANS (including DONER) Total,38961.48
State Plans,37661.48
Agriculture and Cooperation,40.00
Finance,29562.28
Panchayati Raj,3750.00
Statistics and Programme Implementation,1580.00
Road Transport and Highways,1512.49
Tribal Affairs,1216.71
DONER,1300.00
North Eastern Region,600.00
Central Pool of Resources for NER and Sikkim,700.00
UNION TERRITORIES,4878.84
Union Territories with Legislature,1242.81
Pondicherry,740.30
Union Territories without Legislature,3636.03
Andaman & Nicobar Islands,1977.93
Chandigarh,1032.90
Dadra & Nagar Haveli,121.50
Daman & Diu,121.89
Lakshadweep,381.81
GRAND TOTAL,563991.13
