Ministry,Budget,Percentage_Share
1.    Department of Agriculture Cooperation and Farmers' Welfare,123017.5700,3.5317
2.    Department of Agricultural Research and Education,8513.6200,0.2444
3.    Atomic Energy,18264.8900,0.5244
4.    Ministry of Ayurveda Yoga and Naturopathy Unani Siddha and Homoeopathy (AYUSH),2970.3000,0.0853
5.    Department of Chemicals and Petrochemicals,233.1400,0.0067
6.    Department of Fertilisers,80011.3900,2.2970
7.    Department of Pharmaceuticals,470.4100,0.0135
8.    Ministry of Civil Aviation,3224.6700,0.0926
9.    Ministry of Coal,534.8800,0.0154
10.    Department of Commerce,4986.0100,0.1431
11.    Department for Promotion of Industry and Internal Trade,7782.2400,0.2234
12.    Department of Posts,16528.2200,0.4745
13.    Department of Telecommunications,58737.0000,1.6863
14.    Department of Consumer Affairs,2974.1000,0.0854
15.    Department of Food and Public Distribution,253974.3000,7.2913
16.    Ministry of Corporate Affairs,712.1300,0.0204
17.    Ministry of Culture,2687.9900,0.0772
18.    Ministry of Defence (Civil),15257.3400,0.4380
19.    Defence Services (Revenue),212027.5600,6.0871
20.    Capital Outlay on Defence Services,135060.7200,3.8775
21.    Defence Pensions,115850.0000,3.3259
22.    Ministry of Development of North Eastern Region,2658.0000,0.0763
23.    Ministry of Earth Sciences,1897.1300,0.0545
24.    Department of School Education and Literacy,54873.6600,1.5754
25.    Department of Higher Education,38350.6500,1.1010
26.    Ministry of Electronics and Information Technology,9720.6600,0.2791
27.    Ministry of Environment Forests and Climate Change,2869.9300,0.0824
28.    Ministry of External Affairs,18154.7300,0.5212
29.    Department of Economic Affairs,61128.1800,1.7549
30.    Department of Expenditure,454.7400,0.0131
31.    Department of Financial Services,29510.7900,0.8472
32.    Department of Investment and Public Asset Management (DIPAM),110.5200,0.0032
33.    Department of Revenue,101235.3800,2.9064
34.    Direct Taxes,8530.3400,0.2449
35.    Indirect Taxes,21334.7700,0.6125
36.    Indian Audit and Accounts Department,5092.1400,0.1462
37.    Interest Payments,809701.3200,23.2457
38.    Repayment of Debt,,
39.    Pensions,55873.1200,1.6041
40.    Transfers to States,293302.0000,8.4204
41.    Department of Fisheries,1220.8400,0.0350
42.    Department of Animal Husbandry and Dairying,3101.9800,0.0891
43.    Ministry of Food Processing Industries,1308.6600,0.0376
44.    Department of Health and Family Welfare,71268.7700,2.0461
45.    Department of Health Research,2663.0000,0.0765
46.    Department of Heavy Industry,995.2700,0.0286
47.    Department of Public Enterprises,21.8100,0.0006
48.    Ministry of Home Affairs,7620.4000,0.2188
49.    Cabinet,2098.0400,0.0602
50.    Police,103802.5200,2.9801
51.    Andaman and Nicobar Islands,5317.4100,0.1527
52.    Chandigarh,4661.1200,0.1338
53.    Dadra and Nagar Haveli  and Daman and Diu,2204.5900,0.0633
54.    Ladakh,5958.0000,0.1710
55.    Lakshadweep,1440.5600,0.0414
56.    Transfers to Delhi,957.5100,0.0275
57.    Transfers to Jammu and Kashmir,30757.0000,0.8830
58.    Transfers to Puducherry,1729.7900,0.0497
59.    Ministry of Housing and Urban Affairs,54581.0000,1.5670
60.    Ministry of Information and Broadcasting,4071.2300,0.1169
61.    Department of Water Resources River Development and Ganga Rejuvenation,9022.5700,0.2590
62.    Department of Drinking Water and Sanitation,60030.4500,1.7234
63.    Ministry of Labour and Employment,13306.5000,0.3820
64.    Law and Justice,2645.8200,0.0760
65.    Election Commission,249.1600,0.0072
66.    Supreme Court of India,334.9600,0.0096
67.    Ministry of Micro Small and Medium Enterprises,15699.6500,0.4507
68.    Ministry of Mines,1466.8200,0.0421
69.    Ministry of Minority Affairs,4810.7700,0.1381
70.    Ministry of New and Renewable Energy,5753.0000,0.1652
71.    Ministry of Panchayati Raj,913.4300,0.0262
72.    Ministry of Parliamentary Affairs,65.0700,0.0019
73.    Ministry of Personnel Public Grievances and Pensions,2058.5700,0.0591
74.    Central Vigilance Commission,38.6700,0.0011
75.    Ministry of Petroleum and Natural Gas,15943.7800,0.4577
76.    Ministry of Planning,1062.7700,0.0305
77.    Ministry of Ports Shipping and Waterways,1702.3500,0.0489
78.    Ministry of Power,15322.0000,0.4399
79.    Staff Household and Allowances of the President ,74.4700,0.0021
80.    Lok Sabha,855.0000,0.0245
81.    Rajya Sabha,446.5000,0.0128
82.    Secretariat of the Vice-President,7.4300,0.0002
83.    Union Public Service Commission,304.1700,0.0087
84.    Ministry of Railways,110054.6400,3.1596
85.    Ministry of Road Transport and Highways,118101.0000,3.3906
86.    Department of Rural Development,131519.0800,3.7758
87.    Department of Land Resources,2170.4200,0.0623
88.    Department of Science and Technology,6067.3900,0.1742
89.    Department of Biotechnology,3502.3700,0.1005
90.    Department of Scientific and Industrial Research,5224.2700,0.1500
91.    Ministry of Skill Development and Entrepreneurship,2785.2300,0.0800
92.    Department of Social Justice and Empowerment,10517.6200,0.3019
93.    Department of Empowerment of Persons with Disabilities,1171.7700,0.0336
94.    Department of Space,13949.0900,0.4005
95.    Ministry of Statistics and Programme Implementation,1409.1300,0.0405
96.    Ministry of Steel,39.2500,0.0011
97.    Ministry of Textiles,3631.6400,0.1043
98.    Ministry of Tourism,2026.7700,0.0582
99.    Ministry of Tribal Affairs,7524.8700,0.2160
100.    Ministry of Women and Child Development,24435.0000,0.7015
101.    Ministry of Youth Affairs and Sports,2596.1400,0.0745
