MINISTRY/DEPARTMENT,Total
Agriculture & Cooperation,7528.78
Agricultural Research and Education,2680.00
Animal Husbandry and Dairying,1062.43
Atomic Energy,4797.00
Chemicals and Petro-Chemicals,347.00
Fertilisers,31200.00
Civil Aviation,648.00
Coal,345.50
Commerce,3520.00
Industrial Policy and Promotion,723.43
Telecommunications,4140.00
Information Technology,1716.00
Consumer Affairs,247.95
Food and Public Distribution,33095.00
Corporate Affairs,203.00
Culture,1025.00
Defence (Civil estimates),17934.82
Defence Services,105600.00
Development of North Eastern Region,97.00
Earth Sciences,971.00
Environment and Forests,1707.00
External Affairs,5062.00
Economic Affairs,13522.93
Financial Services,60.00
Economic Affairs (centralised provisions),225417.39
Expenditure,9221.00
Disinvestment,1186.00
Food Processing Industries,299.00
Health & Family Welfare,16968.25
"Ayurveda, Yoga & Naturopathy, Unani, Siddha and Homoeopathy(AYUSH)",623.00
Health Research,531.75
Heavy Industry,807.20
Public Enterprises,14.50
Home Affairs,24082.79
Housing and Urban Poverty Alleviation,856.50
School Education and Literacy,27850.00
Higher Education,10852.87
Information and Broadcasting,1910.00
Labour and Employment,2229.50
Election Commission,
Law and Justice,685.87
Supreme Court of India,
Micro Small and Medium Enterprises,1939.42
Mines,439.00
Minority Affairs,1013.83
New and Renewable Energy,624.09
Overseas Indian Affairs,
Panchayati Raj,110.50
Parliamentary Affairs,
Personnel Public Grievances and Pensions,443.00
Petroleum and Natural Gas,2938.00
Planning,644.00
Power,6075.00
The President Parliament Union Public Service Commission and the Secretariat of the Vice-President,538.00
Rural Development,31524.06
Land Resources,2403.90
Drinking Water Supply,8501.90
Science and Technology,1780.00
Scientific and Industrial Research,2078.00
Biotechnology,919.00
Shipping,1300.25
Road Transport and Highways,15578.00
Social Justice and Empowerment,2459.00
Space,4074.00
Statistics and Programme Implementation,319.00
Steel,111.23
Textiles,3323.51
Tourism,1047.00
Tribal Affairs,817.55
Urban Development,4128.75
Water Resources,880.00
Women and Child Development,7262.00
Youth Affairs and Sports,1111.81
Railways,7100.00
Central Ministries/Departments,684914.68
STATE PLANS (including DONER),60152.46
State Plans,58778.46
Agriculture and Cooperation,3193.30
Finance,46413.34
Panchayati Raj,4670.00
Statistics and Programme Implementation,1580.00
Road Transport and Highways,1605.82
Tribal Affairs,1316.00
DONER,1374.00
North Eastern Region,624.00
Central Pool of Resources for NE and Sikkim,650.00
Special Package for Bodoland Territorial Council,100.00
UNION TERRITORIES,5816.39
Union Territories with Legislature,1902.10
Puducherry,586.96
National Capital Territory of Delhi,1315.14
Union Territories without Legislature,3914.29
Andaman & Nicobar Islands,1892.62
Chandigarh,1199.46
Dadra & Nagar Haveli,153.97
Daman & Diu,150.79
Lakshadweep,517.45
Total Central Assistance for States & UTs,65968.85
GRANDTOTAL,750883.53
