Sector_12,Fiscal_Year,Budget_Amount,GDP_Growth_Rate,Inflation_CPI,Exchange_Rate_USD,Fiscal_Deficit_GDP,Global_GDP_Growth,Election_Year,High_Inflation,GDP_Growth_Lag1,Inflation_Lag1
defense security,22-23,47821.0,9.19075493028345,6.7,81.35,6.4,2.8,0.0,0.0,7.60936497768895,5.5
defense security,23-24,51126.31,6.48422363033757,5.4,81.94,5.6,3.2,0.0,0.0,9.19075493028345,6.7
economic services,05-06,170679.0,8.06073257166651,4.2,44.27,4.0,4.1,0.0,0.0,,
economic services,06-07,182168.45,7.6608150670107,6.6,45.28,3.4,4.3,0.0,1.0,8.06073257166651,4.2
economic services,07-08,202392.49,3.08669805921981,6.2,40.24,2.7,3.0,0.0,1.0,7.6608150670107,6.6
economic services,09-10,275949.66,8.49758470221235,12.3,47.42,6.4,4.6,1.0,1.0,7.86188883286074,9.1
economic services,10-11,300147.1,5.24131619937695,10.5,45.58,6.5,3.3,0.0,1.0,8.49758470221235,12.3
economic services,11-12,342764.48,5.45638755166587,8.4,47.92,5.9,3.5,0.0,1.0,5.24131619937695,10.5
economic services,12-13,404609.2,6.38610640094825,10.2,53.21,5.9,3.4,0.0,1.0,5.45638755166587,8.4
economic services,13-14,463665.78,7.41022760508854,9.4,60.5,4.5,3.6,0.0,1.0,6.38610640094825,10.2
economic services,15-16,587662.1499999999,8.25630550179086,4.9,65.46,3.9,3.3,0.0,0.0,7.99625378571471,5.9
economic services,16-17,625239.6900000001,6.79538341897911,4.5,67.07,3.5,3.8,0.0,0.0,8.25630550179086,4.9
economic services,17-18,51887.06,6.45385134497769,3.6,64.45,3.5,3.6,0.0,0.0,6.79538341897911,4.5
economic services,18-19,51204.78,3.87143694070356,3.4,69.92,3.4,2.8,0.0,0.0,6.45385134497769,3.6
economic services,19-20,55617.17,5.77772470686801,4.8,74.53,4.6,-2.9,1.0,1.0,3.87143694070356,3.4
economic services,20-21,71966.5,9.68959249192875,6.2,73.23,9.2,6.2,0.0,0.0,5.77772470686801,4.8
economic services,21-22,96539.95,7.60936497768895,5.5,74.57,6.7,3.4,0.0,1.0,9.68959249192875,6.2
economic services,22-23,76252.66,9.19075493028345,6.7,81.35,6.4,2.8,0.0,0.0,7.60936497768895,5.5
economic services,23-24,61298.689999999995,6.48422363033757,5.4,81.94,5.6,3.2,0.0,0.0,9.19075493028345,6.7
energy and natural resources,05-06,27353.06,8.06073257166651,4.2,44.27,4.0,4.1,0.0,0.0,,
energy and natural resources,06-07,31640.27,7.6608150670107,6.6,45.28,3.4,4.3,0.0,1.0,8.06073257166651,4.2
energy and natural resources,07-08,37302.65,3.08669805921981,6.2,40.24,2.7,3.0,0.0,1.0,7.6608150670107,6.6
energy and natural resources,09-10,71246.0,8.49758470221235,12.3,47.42,6.4,4.6,1.0,1.0,7.86188883286074,9.1
