Sector_12,Fiscal_Year,Budget_Amount,GDP_Growth_Rate,Inflation_CPI,Exchange_Rate_USD,Fiscal_Deficit_GDP,Global_GDP_Growth,Election_Year,High_Inflation,GDP_Growth_Lag1,Inflation_Lag1,Sector_Share_GDP,Year_End,Budget_Lag1,Budget_Lag2,Budget_Growth_Lag1,Sector_Share_Lag1,Sector_Share_Growth,Budget_Log,Share_Log,Budget_Log_Diff1,Share_Log_Diff1,Budget_LogDiff1_MA3,Share_LogDiff1_MA3,Trend,Inflation_x_Election,GDPGrowth_x_Election
defense security,15-16,192356.3,8.25630550179086,4.9,65.46,3.9,3.3,0.0,0.0,7.99625378571471,5.9,2.0,2016,156254.41999999998,141818.58,0.23104549618500392,2.1,-0.04761904761904767,12.167104660438465,0.6931471805599453,0.20786380523991532,-0.04879016416943205,-0.08651895867936332,0.0,9,0.0,0.0
defense security,16-17,310338.05,6.79538341897911,4.5,67.07,3.5,3.8,0.0,0.0,8.25630550179086,4.9,1.9,2017,192356.3,156254.41999999998,0.6133500696363987,2.0,-0.050000000000000044,12.64541746618666,0.6418538861723947,0.47831280574819424,-0.05129329438755059,0.2610378506903146,-0.017097764795850196,10,0.0,0.0
defense security,17-18,265626.11,6.45385134497769,3.6,64.45,3.5,3.6,0.0,0.0,6.79538341897911,4.5,1.9,2018,310338.05,192356.3,-0.14407495310355922,1.9,0.0,12.489844997475616,0.6418538861723947,-0.1555724687110427,0.0,0.17686804742568896,-0.03336115285232755,11,0.0,0.0
defense security,18-19,37205.54,3.87143694070356,3.4,69.92,3.4,2.8,0.0,0.0,6.45385134497769,3.6,1.9,2019,265626.11,310338.05,-0.8599326700225366,1.9,0.0,10.524212953904234,0.6418538861723947,-1.9656320435713823,0.0,-0.5476305688447436,-0.017097764795850196,12,0.0,0.0
defense security,19-20,39026.05,5.77772470686801,4.8,74.53,4.6,-2.9,1.0,1.0,3.87143694070356,3.4,1.9,2020,37205.54,265626.11,0.048931153801288874,1.9,0.0,10.571984650851274,0.6418538861723947,0.047771696947039644,0.0,-0.6911442717784618,0.0,13,4.8,5.77772470686801
defense security,20-21,37002.0,9.68959249192875,6.2,73.23,9.2,6.2,0.0,0.0,5.77772470686801,4.8,1.9,2021,39026.05,37205.54,-0.051864075406042986,1.9,0.0,10.518727244219548,0.6418538861723947,-0.053257406631725956,0.0,-0.6570392510853562,0.0,14,0.0,0.0
defense security,21-22,38135.08,7.60936497768895,5.5,74.57,6.7,3.4,0.0,1.0,9.68959249192875,6.2,1.9,2022,37002.0,39026.05,0.030622128533592807,1.9,0.0,10.54888987240655,0.6418538861723947,0.030162628187001772,0.0,0.00822563950077182,0.0,15,0.0,0.0
defense security,22-23,47821.0,9.19075493028345,6.7,81.35,6.4,2.8,0.0,0.0,7.60936497768895,5.5,1.9,2023,38135.08,37002.0,0.2539897648044791,1.9,0.0,10.775220152546073,0.6418538861723947,0.22633028013952305,0.0,0.06774516723159962,0.0,16,0.0,0.0
defense security,23-24,51126.31,6.48422363033757,5.4,81.94,5.6,3.2,0.0,0.0,9.19075493028345,6.7,1.9,2024,47821.0,38135.08,0.0691183789548524,1.9,0.0,10.84205451648871,0.6418538861723947,0.06683436394263786,0.0,0.10777575742305423,0.0,17,0.0,0.0
economic services,05-06,170679.0,8.06073257166651,4.2,44.27,4.0,4.1,0.0,0.0,,,4.5,2006,,,,,,12.0475398783675,1.5040773967762742,,,,,1,0.0,0.0
