Sector_12,Fiscal_Year,Year_End,Budget_Amount,Split,z_Sector_Share_GDP,z_Sector_Share_Lag1,z_Sector_Share_Growth,z_Share_Log,z_Share_Log_Diff1,z_Share_LogDiff1_MA3,z_Budget_Lag1,z_Budget_Lag2,z_Budget_Growth_Lag1,z_GDP_Growth_Rate,z_Inflation_CPI,z_Exchange_Rate_USD,z_Fiscal_Deficit_GDP,z_Global_GDP_Growth,z_Election_Year,z_High_Inflation,z_GDP_Growth_Lag1,z_Inflation_Lag1,z_Inflation_x_Election,z_GDPGrowth_x_Election,z_Trend
agriculture forestry fishing,05-06,2006,27237.86,train,2.235555566490639,-0.33583882026081474,-0.14631422356995583,1.6829232509267453,-0.12957746601061873,0.021751042428375528,-0.35158124794100204,-0.3252125644467319,-0.186288480180906,0.6880903780846179,-0.9643088675599158,-1.1948888778431248,-0.6092959565693482,0.4469517863670697,-0.3779644730092272,-1.1338934190276817,0.3740175216210012,-0.27901388087115264,-0.34221429324236174,-0.3703599479409377,-1.6269784336399213
agriculture forestry fishing,06-07,2007,38240.82,train,2.1809389951827054,2.3164866011195877,-0.5123526093115822,1.6644438004951563,-0.5133899348802525,-0.8730337426271199,-0.6274209644431851,-0.3252125644467319,0.3596940408668343,0.46261942591851407,-0.04317800899522038,-1.1166117403940212,-0.9637954222096964,0.5586897329588373,-0.3779644730092272,0.8819171036881969,0.6908361597053615,-0.9332533256724765,-0.34221429324236174,-0.3703599479409377,-1.4100479758212652
agriculture forestry fishing,07-08,2008,44713.380000000005,train,2.1445279476440833,2.260451557005917,-0.3944296284301992,1.6519512944701678,-0.3890429516087899,-0.7760940133492982,-0.5204749757251768,-0.5912369775562051,-0.0848294201199674,-2.116238726223137,-0.1966998187560028,-1.5072224064766773,-1.3773781321234355,-0.16760691988765108,-0.3779644730092272,0.8819171036881969,0.41013076378930347,-0.009621168305901958,-0.34221429324236174,-0.3703599479409377,-1.193117518002609
agriculture forestry fishing,09-10,2010,86589.42,train,2.1263224238747727,2.2230948609301366,-0.27177370794843725,1.6456520065767013,-0.2604117268812276,-0.6769276480567334,-0.45756332933760174,-0.48061593651129236,1.3684128921491383,0.9343848380251348,2.1445077800959322,-0.9507572115414648,0.8087019059920443,0.7262966528464884,2.6457513110645903,0.8819171036881969,0.5512660989376004,0.9524956622842801,3.596251958810083,3.1570340302891373,-0.9761870601839528
agriculture forestry fishing,10-11,2011,93610.87,train,2.1263224238747727,2.204416512892247,-0.14631422356995583,1.6456520065767013,-0.12957746601061873,-0.47744994007755526,-0.0505388103540861,-0.4155424176194978,-0.25182157431996655,-0.9014786870653145,1.4536596361724103,-1.093361105508149,0.8677851502654353,0.0,-0.3779644730092272,0.8819171036881969,0.9974662742515673,2.1840052054397137,-0.34221429324236174,-0.3703599479409377,-0.7592566023652966
agriculture forestry fishing,11-12,2012,104371.66,train,2.108116900105461,2.204416512892247,-0.2724865459278652,1.6393168251112464,-0.26115722526779844,-0.41098427352721395,0.017707908027518406,0.005468941109281049,-0.1876842703506717,-0.7802228229941246,0.6476701349283016,-0.9120061533983441,0.5132856846250875,0.11173794659176756,-0.3779644730092272,0.8819171036881969,-1.2881354527448101,1.4912810874147822,-0.34221429324236174,-0.3703599479409377,-0.5423261445466404
agriculture forestry fishing,12-13,2013,109450.59,train,2.035294805028217,2.1857381648543566,-0.6538874517983403,1.6136088280129541,-0.6635246130059578,-0.6204929297150996,0.12230006558665317,0.07606086443216886,-0.313238506318855,-0.2560532336312214,1.338518278851823,-0.5020199582441278,0.5132856846250875,0.05586897329588378,-0.3779644730092272,0.8819171036881969,-1.1371750961922198,0.6831029497190294,-0.34221429324236174,-0.3703599479409377,-0.32539568672798425
agriculture forestry fishing,13-14,2014,115835.73,train,2.0170892812589054,2.1110247727027964,-0.27617579511961715,1.6070878630498617,-0.26501589104183704,-0.6908839377954393,0.17166598080215456,0.18424718813648905,-0.29491186181929935,0.3213398045398408,1.0314746593302582,0.06297046948257104,-0.31387973520239154,0.16760691988765133,-0.3779644730092272,0.8819171036881969,-0.48459776551737643,1.37582706774396,-0.34221429324236174,-0.3703599479409377,-0.10846522890932808
agriculture forestry fishing,15-16,2016,21637.71,train,1.8532395673351052,2.092346424664906,-1.3219433918930574,1.5466113730107776,-1.3856554557971803,-1.2753160442177855,0.2337279268969239,0.23530949536965517,-1.9456147377668251,0.7983531554316704,-0.6956457004785462,0.4473809662623273,-0.6683792008427396,0.0,-0.3779644730092272,-1.1338934190276817,0.6455779678831152,-0.27901388087115264,-0.34221429324236174,-0.3703599479409377,0.10846522890932808
agriculture forestry fishing,16-17,2017,41329.78,train,1.7622119484885495,1.9242412923238947,-0.8359517619237437,1.5115352356699705,-0.8580979878207403,-1.3764410831101763,-0.6818530062500402,0.2995041151826431,1.318292313886596,-0.02530544719826005,-0.849167510239329,0.5721593734831757,-0.904712177936305,0.27934486647941864,-0.3779644730092272,-1.1338934190276817,0.8281104128748196,-0.6638606131072254,-0.34221429324236174,-0.3703599479409377,0.32539568672798425
