MINISTRY/DEPARTMENT,Total
1. Department of Agriculture Cooperation and Farmers's Welfare,41855
2. Department of Agricultural Research and Education,6800.0
3. Department of Animal Husbandry Dairying and Fisheries,2371
4. Atomic Energy,12461.2
5. Ministry of Ayurveda Yoga and Naturopathy Unani Siddha and Homoeopathy (AYUSH),1428.65
6. Department of Chemicals and Petrochemicals,298.0
7. Department of Fertilisers,70032.71
8. Department of Pharmaceuticals,247.74
9. Ministry of Civil Aviation,2702.0
10. Ministry of Coal,745.1
11. Department of Commerce,4465.83
12. Department of Industrial Policy and Promotion,3608.87
13. Department of Posts,9550.0
14. Department of Telecommunications,26687.47
15. Department of Consumer Affairs,3727.0
16. Department of Food and Public Distribution,150504.69
17. Ministry of Corporate Affairs,448.04
18. Ministry of Culture,2738.47
19. Ministry of Defence (Misc.),14852.22
20. Defence Services (Revenue),172773.89
21. Capital Outlay on Defence Services,86488.01
22. Defence Pensions,85740.0
23. Ministry of Development of North Eastern Region,2682.45
24. Ministry of Drinking Water and Sanitation,20010.79
25. Ministry of Earth Sciences,1719.48
26. Ministry of Electronics and Information Technology,4039.0
27. Ministry of Environment Forests and Climate Change,2675.42
28. Ministry of External Affairs,14798.55
29. Department of Economic Affairs,11110.0
30. Department of Expenditure,480.0
31. Department of Financial Services,17450.0
32. Department of Investment and Public Asset Management (DIPAM),44.0
33. Department of Revenue,500.68
34. Direct Taxes,6108.64
35. Indirect Taxes,6089.51
36. Indian Audit and Accounts Department,4036.39
37. Interest Payments,523078.39
38. Repayment of Debt,...
39. Pensions,34170.0
40. Transfers to States,137101.38
41. Ministry of Food Processing Industries,800.0
42. Department of Health and Family Welfare,47352.51
43. Department of Health Research,1500.0
44. Department of Heavy Industry,2600.0
45. Department of Public Enterprises,19.38
46. Ministry of Home Affairs,5100.0
47. Cabinet,730.0
48. Police,78000.0
49. Andaman and Nicobar Islands,4158.28
50. Chandigarh,3896.94
51. Dadra and Nagar Haveli,1068.72
52. Daman and Diu,780.31
53. Lakshadweep,1211.91
54. Transfers  to Delhi,758.0
55. Transfers to Puducherry,1483.01
56. Ministry of Housing and Urban Poverty Alleviation,6406.0
57. Department of School Education and Literacy,46356.25
58. Department of Higher Education,33329.7
59. Ministry of Information and Broadcasting,4409.0
60. Ministry of Labour and Employment,7188.38
61. Law and Justice,4143.66
62. Election Commission,146.0
63. Supreme Court of India,247.0
64. Ministry of Micro Small and Medium Enterprises,6481.96
65. Ministry of Mines,1213.49
66. Ministry of Minority Affairs,4195.48
67. Ministry of New and Renewable Energy,5472.84
68. Ministry of Panchayati Raj,790.79
69. Ministry of Parliamentary Affairs,17.88
70. Ministry of Personnel Public Grievances and Pensions",1423
71. Central Vigilance Commission,27.68
72. Ministry of Petroleum and Natural Gas,29157.57
73. Ministry of Planning,252.52
74. Ministry of Power,13881.14
75. Staff Household and Allowances of the President,66
76. Lok Sabha,664.26
77. Rajya Sabha,387.4
78. Secretariat of the Vice-President,5.3
79. Union Public Service Commission,229.19
80. Ministry of Railways,55000.0
81. Ministry of Road Transport and Highways,64900.0
82. Department of Rural Development,105447.88
83. Department of Land Resources,2310.36
84. Department of Science and Technology,4817.27
85. Department of Biotechnology,2222.11
86. Department of Scientific and Industrial Research,4446.0
87. Ministry of Shipping,1773.0
88. Ministry of Skill Development and Entreprenuership,3016.14
89. Department of Social Justice and Empowerment,6908.0
90. Department of Empowerment of Persons with Disabilities,855.0
91. Department of Space,9093.71
92. Ministry of Statistics and Programme Implementation,4795.74
93. Ministry of Steel,44.14
94. Ministry of Textiles,6226.5
95. Ministry of Tourism,1840.77
96. Ministry of Tribal Affairs,5329.32
97. Ministry of Urban Development,34211.84
98. Ministry of Water Resources River Development and Ganga Rejuvenation,6887
99. Ministry of Women and Child Development,22094.67
100. Ministry of Youth Affairs and Sports,1943.21
Grand Total,2146734.78
