Ministry,Budget,Percentage_Share
1. Department of Agriculture Cooperation and Farmers' Welfare,46700.0000,1.9122
2. Department of Agricultural Research and Education,7800.0000,0.3194
3. Department of Animal Husbandry Dairying and Fisheries,3100.0000,0.1269
4. Atomic Energy,13971.4100,0.5721
5. Ministry of Ayurveda Yoga and Naturopathy Unani Siddha and Homoeopathy (AYUSH) ,1626.3700,0.0666
6. Department of Chemicals and Petrochemicals,199.6500,0.0082
7. Department of Fertilisers,70125.3900,2.8714
8. Department of Pharmaceuticals,261.5300,0.0107
9. Ministry of Civil Aviation,6602.8600,0.2704
10. Ministry of Coal,770.9100,0.0316
11. Department of Commerce,5251.7000,0.2150
12. Department of Industrial Policy and Promotion,6140.2300,0.2514
13. Department of Posts,11496.1800,0.4707
14. Department of Telecommunications,28055.2800,1.1488
15. Department of Consumer Affairs,1785.1700,0.0731
16. Department of Food and Public Distribution,174159.1000,7.1312
17. Ministry of Corporate Affairs,564.1500,0.0231
18. Ministry of Culture,2843.3200,0.1164
19. Ministry of Defence (Misc.),16206.0900,0.6636
20. Defence Services (Revenue),185323.1900,7.5883
21. Capital Outlay on Defence Services,93982.1300,3.8482
22. Defence Pensions,108853.3000,4.4572
23. Ministry of Development of North Eastern Region,3000.0000,0.1228
24. Ministry of Drinking Water and Sanitation,22356.6000,0.9154
25. Ministry of Earth Sciences,1800.0000,0.0737
26. Ministry of Electronics and Information Technology,6000.0000,0.2457
27. Ministry of Environment Forests and Climate Change,88.7500,0.0036
28. Ministry of External Affairs,15011.0000,0.6146
29. Department of Economic Affairs,12742.8400,0.5218
30. Department of Expenditure,413.3300,0.0169
31. Department of Financial Services,6577.0600,0.2693
32. Department of Investment and Public Asset Management,44.0000,0.0018
33. Department of Revenue,90736.4400,3.7153
34. Direct Taxes,6980.0000,0.2858
35. Indirect Taxes,7825.0000,0.3204
36. Indian Audit and Accounts Department,4305.7000,0.1763
37. Interest Payments,575794.9500,23.5768
38. Repayment of Debt,,
39. Pensions,46430.0000,1.9011
40. Transfers to States,142857.5000,5.8495
41. Ministry of Food Processing Industries,1400.0000,0.0573
42. Department of Health and Family Welfare,52800.0000,2.1620
43. Department of Health Research,1800.0000,0.0737
44. Department of Heavy Industry,1125.7300,0.0461
45. Department of Public Enterprises,20.4400,0.0008
46. Ministry of Home Affairs,4793.3600,0.1963
47. Cabinet,770.0000,0.0315
48. Police,87886.5000,3.5986
Other Grants/Loans/Transfers ,,
49. Andaman and Nicobar Islands,4523.8600,0.1852
50. Chandigarh,4084.8300,0.1673
51. Dadra and Nagar Haveli,1114.4400,0.0456
52. Daman and Diu,773.4900,0.0317
53. Lakshadweep,1360.3100,0.0557
54. Transfers to Delhi,790.0000,0.0323
Other Grants/Loans/Transfers ,790.0000,0.0323
55. Transfers to Puducherry,1476.0000,0.0604
56. Ministry of Housing and Urban Affairs,41765.1300,1.7101
57. Department of School Education and Literacy,50000.0000,2.0473
58. Department of Higher Education,35010.2900,1.4335
59. Ministry of Information and Broadcasting,4088.9800,0.1674
60. Ministry of Labour and Employment,7700.0000,0.3153
61. Law and Justice,4386.3300,0.1796
62. Election Commission,267.9600,0.0110
63. Supreme Court of India,251.0600,0.0103
64. Ministry of Micro Small and Medium Enterprises,6552.6100,0.2683
65. Ministry of Mines,1669.5200,0.0684
66. Ministry of Minority Affairs,4700.0000,0.1924
67. Ministry of New and Renewable Energy,5146.6300,0.2107
68. Ministry of Panchayati Raj,825.1700,0.0338
69. Ministry of Parliamentary Affairs,18.8600,0.0008
70. Ministry of Personnel Public Grievances and Pensions,1527.0000,0.0625
71. Central Vigilance Commission,32.6100,0.0013
72. Ministry of Petroleum and Natural Gas,31100.5500,1.2735
73. Ministry of Planning,339.6500,0.0139
74. Ministry of Power,15046.9200,0.6161
75. Staff Household and Allowances of the President,60.0500,0.0025
76. Lok Sabha,774.9700,0.0317
77. Rajya Sabha,387.9400,0.0159
78. Secretariat of the Vice-President,5.5700,0.0002
79. Union Public Service Commission,297.6100,0.0122
80. Ministry of Railways,55088.0000,2.2557
81. Ministry of Road Transport and Highways,71000.0000,2.9072
82. Department of Rural Development,112403.9200,4.6025
83. Department of Land Resources,2511.4000,0.1028
84. Department of Science and Technology,5114.7800,0.2094
85. Department of Biotechnology,2411.5300,0.0987
86. Department of Scientific and Industrial Research,4795.9700,0.1964
87. Ministry of Shipping,1881.1300,0.0770
88. Ministry of Skill Development and Entrepreneurship,3400.0000,0.1392
89. Department of Social Justice and Empowerment,7750.0000,0.3173
90. Department of Empowerment of Persons with Disabilities,1070.0000,0.0438
91. Department of Space,10783.4200,0.4415
92. Ministry of Statistics and Programme Implementation,4859.0000,0.1990
93. Ministry of Steel,47.9000,0.0020
94. Ministry of Textiles,7147.7300,0.2927
95. Ministry of Tourism,2150.0000,0.0880
96. Ministry of Tribal Affairs,6000.0000,0.2457
97. Ministry of Water Resources River Development and Ganga Rejuvenation ,8860.0000,0.3628
98. Ministry of Women and Child Development,24700.0000,1.0114
99. Ministry of Youth Affairs and Sports,2196.3500,0.0899
