Model,Count,MAE,RMSE,R2,MAPE_%
GBM,61,8315.14338702901,18891.344178940624,0.8760735872055341,180.66663977395004
Lasso,61,9677.767727137794,19042.355135188303,0.8740844176080932,191.514617937106
Linear,61,9721.463408763711,19071.382845005042,0.8737002396228016,194.41082732011165
RF,61,10427.826005464485,23416.76980337941,0.8095889573624551,151.6298996564711
Ridge,61,10911.426538235894,23961.01008282914,0.8006352366285132,154.16570111543874
