Model,Count,MAE,RMSE,R2,MAPE_%
GBM,549,10851.67789451618,34346.81628801651,0.5502672528841994,127.35104572580636
RF,549,12272.555688413751,33794.01762037836,0.5646273034490523,112.6441506608342
HGB,549,16629.894720519518,40087.22353046224,0.3873767247100144,108.62718750107405
Ridge,549,173728192273970.0,4070558215642294.5,-6.316688749395795e+21,284038983289.846
Linear,549,4.766114161686805e+19,1.1167353697456848e+21,-4.75425071431367e+32,1.5007968616905544e+18
MLP,549,2.878266033972919e+22,6.743992907354533e+23,-1.7338668649699794e+38,4.7054056223032115e+19
Lasso,549,5.087234555333224e+22,1.1919771611115735e+24,-5.416483265681013e+38,8.316639878195901e+19
