Base_Ministry,Fiscal_Year,Budget_Amount,GDP_Growth_Rate,Inflation_CPI,Exchange_Rate_USD,Current_Account_GDP,Global_GDP_Growth,Election_Year,High_Inflation,GDP_Growth_Lag1,Inflation_Lag1
Agricultural Research and Education,05-06,1942.0,8.06073257166651,5.79652337561634,45.3070083333333,-0.988988302952292,4.47122116709618,0.0,0.0,,
Agricultural Research and Education,06-07,2160.0,7.6608150670107,6.37288135593231,41.3485333333333,-0.66371764877261,4.38558322159378,0.0,1.0,8.06073257166651,5.79652337561634
Agricultural Research and Education,07-08,2460.0,3.08669805921981,8.34926704907581,43.5051833333333,-2.58337749259838,2.07395272619111,0.0,1.0,7.6608150670107,6.37288135593231
Agricultural Research and Education,09-10,3241.4,8.49758470221235,11.9893899204244,45.7258121212121,-3.25348368945179,4.52714707154176,1.0,1.0,7.86188883286074,10.8823529411764
Agricultural Research and Education,10-11,3818.05,5.24131619937695,8.91179336483371,46.6704666666667,-3.42928468606061,3.34731098254233,0.0,1.0,8.49758470221235,11.9893899204244
Agricultural Research and Education,11-12,4957.6,5.45638755166587,9.47899691419801,53.4372333333333,-5.00488971805303,2.70728114800572,0.0,1.0,5.24131619937695,8.91179336483371
Agricultural Research and Education,12-13,5392.0,6.38610640094825,10.0178784746102,58.5978454166667,-2.64566711733892,2.88902201263855,0.0,1.0,5.45638755166587,9.47899691419801
Agricultural Research and Education,13-14,5729.17,7.41022760508854,6.66565671867899,61.0295144607843,-1.33950896483453,3.14862374821116,0.0,1.0,6.38610640094825,10.0178784746102
Agricultural Research and Education,15-16,6320.0,8.25630550179086,4.94821634062141,67.1953128073894,-0.52788060603752,2.8143608967909,0.0,0.0,7.99625378571471,4.90697344127256
Agricultural Research and Education,16-17,6620.0,6.79538341897911,3.32817337461298,65.1215686450659,-1.43948820320989,3.45634160134833,0.0,0.0,8.25630550179086,4.94821634062141
Agricultural Research and Education,17-18,6800.0,6.45385134497769,3.9388264669163,68.3894670935422,-2.42697545810527,3.29609128087938,0.0,0.0,6.79538341897911,3.32817337461298
Agricultural Research and Education,18-19,7800.0,3.87143694070356,3.72950573539129,70.4203405359551,-1.04961203910072,2.71004016031682,0.0,0.0,6.45385134497769,3.9388264669163
