Ministry,Budget,Percentage_Share
I. CENTRAL SECTOR,1524203.1000,91.5274
Agriculture and Cooperation,11979.5000,0.7194
Agriculture Research and Education,5729.1700,0.3440
Animal Husbandry Dairying and Fisheries,2110.1600,0.1267
Atomic Energy,9833.3200,0.5905
Chemicals and Petrochemicals,1343.0100,0.0806
Fertilisers,66269.0000,3.9794
Pharmaceuticals,228.3300,0.0137
Civil Aviation,5882.1800,0.3532
Coal,497.7000,0.0299
Commerce,5391.0000,0.3237
Industrial Policy and Promotion,1716.2900,0.1031
Posts,7527.0900,0.4520
Telecommunications,11703.1400,0.7028
Electronics and Information Technology,3052.0000,0.1833
Consumer Affairs,556.9000,0.0334
Food and Public Distribution,91034.5500,5.4666
Corporate Affairs,255.2800,0.0153
Culture,2062.0000,0.1238
Defence(Civil Estimates),49673.7900,2.9829
Defence Services,203672.1200,12.2304
Development of North Eastern Region,250.9700,0.0151
Drinking Water and Sanitation,15265.7000,0.9167
Earth Sciences,1690.0000,0.1015
Environment and Forests,2630.2000,0.1579
External Affairs,11719.0000,0.7037
Economic Affairs,29877.3800,1.7941
Financial Services,23369.3900,1.4033
Economic Affairs (Centralised Provisions),432968.8900,25.9995
Expenditure,22812.9900,1.3699
Disinvestment,63.2400,0.0038
Food Processing Industries,719.1100,0.0432
Health and Family Welfare,33278.0000,1.9983
Ayurveda Yoga & Naturopathy Unani Siddha and Homoeopathy ( AYUSH),1259.0000,0.0756
Health Research,1008.0000,0.0605
AIDS Control,1785.0000,0.1072
Heavy Industry,1028.9700,0.0618
Public Enterprises,19.3900,0.0012
Home Affairs,56906.8400,3.4172
Housing and Urban Poverty Alleviation,1468.0200,0.0882
School Education and Literacy,52701.0000,3.1647
Higher Education,26750.0000,1.6063
Information and Broadcasting,3035.6500,0.1823
Labour and Employment,5081.2000,0.3051
Election Commission,68.5000,0.0041
Law and Justice,1815.4700,0.1090
Supreme Court of India,129.4100,0.0078
Micro Small and Medium Enterprises,3289.7100,0.1975
Mines,991.0800,0.0595
Minority Affairs,3530.9800,0.2120
New and Renewable Energy,1533.5500,0.0921
Overseas Indian Affairs,115.7900,0.0070
Panchayati Raj,500.7000,0.0301
Parliamentary Affairs,13.2800,0.0008
Personnel Public Grievances and Pensions,1019.9400,0.0612
Petroleum and Natural Gas,65188.4100,3.9145
Planning,8081.5100,0.4853
Power,10073.0700,0.6049
The President Parliament Union Public Service Commission and the Secretariat of the Vice President,1033.5300,0.0621
Road Transport and Highways,28942.2300,1.7380
Rural Development,74477.6500,4.4723
Land Resources,5772.8500,0.3467
Science and Technology,3184.2700,0.1912
Scientific and Industrial Research,3571.0000,0.2144
Biotechnology,1502.0600,0.0902
Shipping,1712.6700,0.1028
Social Justice and Empowerment,6725.3200,0.4039
Space,6792.0000,0.4079
Statistics and Programme Implementation,996.6800,0.0598
Steel,112.8700,0.0068
Textiles,5431.5900,0.3262
Tourism,1357.3000,0.0815
Tribal Affairs,1778.9400,0.1068
Urban Development,10363.7500,0.6223
Water Resources,2076.5500,0.1247
Women and Child Development,20440.0000,1.2274
Youth Affairs and Sports,1219.0000,0.0732
Railways,26000.0000,1.5613
II. STATE PLANS TOTAL (A+B),129930.0000,7.8022
A. STATE PLANS (a+b+c+d+e+f),128150.0000,7.6953
a. Agriculture and Cooperation,9954.0000,0.5977
b. Economic Affairs (Centralised Provisions),102957.0000,6.1825
c. Panchayati Raj,6500.0000,0.3903
d. Road Transport and Highways,2267.0000,0.1361
e. Statistics and Programme Implementation,3955.0000,0.2375
f. Tribal Affairs,2517.0000,0.1511
B. DONER (g+h),1780.0000,0.1069
g. Grants from Central Pool of Resources for North Eastern Region and Sikkim,948.0000,0.0569
h. North Eastern Region,832.0000,0.0500
,,
III. UNION TERRITORIES (A + B),11164.2200,0.6704
A. UNION TERRITORIES WITH LEGISLATURE (1 + 2),2413.9000,0.1450
(2) Puducherry,1268.2000,0.0762
,,
B. UNION TERRITORIES WITHOUT LEGISLATURE (3 + 4 + 5 + 6 + 7),8750.3200,0.5255
(3) Andaman and Nicobar Islands,3192.7000,0.1917
(4) Chandigarh,3074.3200,0.1846
(5) Dadra and Nagar Haveli,796.9800,0.0479
(6) Daman and Diu,758.7100,0.0456
(7) Lakshadweep,927.6100,0.0557
IV. Total Central Assistance for States and UTs (II + III),141094.2200,8.4726
