MINISTRY/DEPARTMENT,Total
I. CENTRAL SECTOR,1524203.10
Agriculture and Cooperation,11979.50
Agriculture Research and Education,5729.17
Animal Husbandry Dairying and Fisheries,2110.16
Atomic Energy,9833.32
Chemicals and Petrochemicals,1343.01
Fertilisers,66269.00
Pharmaceuticals,228.33
Civil Aviation,5882.18
Coal,497.70
Commerce,5391.00
Industrial Policy and Promotion,1716.29
Posts,7527.09
Telecommunications,11703.14
Electronics and Information Technology,3052.00
Consumer Affairs,556.90
Food and Public Distribution,91034.55
Corporate Affairs,255.28
Culture,2062.00
Defence(Civil Estimates),49673.79
Defence Services,203672.12
Development of North Eastern Region,250.97
Drinking Water and Sanitation,15265.70
Earth Sciences,1690.00
Environment and Forests,2630.20
External Affairs,11719.00
Economic Affairs,29877.38
Financial Services,23369.39
Economic Affairs (Centralised Provisions),432968.89
Expenditure,22812.99
Disinvestment,63.24
Food Processing Industries,719.11
Health and Family Welfare,33278.00
Ayurveda Yoga & Naturopathy Unani Siddha and Homoeopathy ( AYUSH),1259
Health Research,1008.00
AIDS Control,1785.00
Heavy Industry,1028.97
Public Enterprises,19.39
Home Affairs,56906.84
Housing and Urban Poverty Alleviation,1468.02
School Education and Literacy,52701.00
Higher Education,26750.00
Information and Broadcasting,3035.65
Labour and Employment,5081.20
Election Commission,68.50
Law and Justice,1815.47
Supreme Court of India,129.41
Micro Small and Medium Enterprises,3289.71
Mines,991.08
Minority Affairs,3530.98
New and Renewable Energy,1533.55
Overseas Indian Affairs,115.79
Panchayati Raj,500.70
Parliamentary Affairs,13.28
Personnel Public Grievances and Pensions,1019.94
Petroleum and Natural Gas,65188.41
Planning,8081.51
Power,10073.07
The President Parliament Union Public Service Commission and the Secretariat of the Vice President,1033.53
Road Transport and Highways,28942.23
Rural Development,74477.65
Land Resources,5772.85
Science and Technology,3184.27
Scientific and Industrial Research,3571.00
Biotechnology,1502.06
Shipping,1712.67
Social Justice and Empowerment,6725.32
Space,6792.00
Statistics and Programme Implementation,996.68
Steel,112.87
Textiles,5431.59
Tourism,1357.30
Tribal Affairs,1778.94
Urban Development,10363.75
Water Resources,2076.55
Women and Child Development,20440.00
Youth Affairs and Sports,1219.00
Railways,26000.00
II. STATE PLANS TOTAL (A+B),129930.00
A. STATE PLANS (a+b+c+d+e+f),128150.00
a. Agriculture and Cooperation,9954.00
b. Economic Affairs (Centralised Provisions),102957.00
c. Panchayati Raj,6500.00
d. Road Transport and Highways,2267.00
e. Statistics and Programme Implementation,3955.00
f. Tribal Affairs,2517.00
B. DONER (g+h),1780.00
g. Grants from Central Pool of Resources for North Eastern Region and Sikkim,948.00
h. North Eastern Region,832.00
,
III. UNION TERRITORIES (A + B),11164.22
A. UNION TERRITORIES WITH LEGISLATURE (1 + 2),2413.90
(2) Puducherry,1268.20
,
B. UNION TERRITORIES WITHOUT LEGISLATURE (3 + 4 + 5 + 6 + 7),8750.32
(3) Andaman and Nicobar Islands,3192.70
(4) Chandigarh,3074.32
(5) Dadra and Nagar Haveli,796.98
(6) Daman and Diu,758.71
(7) Lakshadweep,927.61
IV. Total Central Assistance for States and UTs (II + III),141094.22
Grand Total,1665297.32
