Sector_12,Fiscal_Year,Year_End,Prev_Year_Amount,Forecast,Actual
agriculture forestry fishing,24-25,2025,253185.88,539801.9,
communication broadcasting culture and toursim,24-25,2025,262565.88,614117.9,
defense security,24-25,2025,51126.31,54907.14,
economic services,24-25,2025,61298.69,91939.414,
energy and natural resources,24-25,2025,246136.28,233977.31,
food distribution,24-25,2025,209052.25,303425.38,
governance and administration,24-25,2025,94545.62,143056.12,
infrastructure and transport,24-25,2025,352198.4,410014.88,
regional and development,24-25,2025,31008.08,39002.676,
science and innovation,24-25,2025,28905.33,31793.762,
social and services,24-25,2025,252239.36,442317.9,
