MINISTRY/DEPARTMENT,Total
I. CENTRAL SECTOR,1729508.48
Agriculture Cooperation and Farmers Welfare,23228.83
Agriculture Research and Education,6620.00
Animal Husbandry Dairying and Fisheries,1339.51
Atomic Energy,11682.48
Ayurveda Yoga & Naturopathy Unani Siddha and Homoeopathy ( AYUSH),926.2
Chemicals and Petrochemicals,202.04
Fertilisers,70039.37
Pharmaceuticals,211.40
Civil Aviation,2590.68
Coal,361.00
Commerce,4362.80
Industrial Policy and Promotion,3026.55
Posts,9025.53
Telecommunications,18413.87
Electronics and Information Technology,3328.82
Consumer Affairs,1241.61
Food and Public Distribution,140150.00
Corporate Affairs,344.43
Culture,2500.00
Defence(Misc.),118465.84
Defence Services,222456.14
Development of North Eastern Region,830.01
Drinking Water and Sanitation,1471.20
Earth Sciences,1672.45
Environment Forests and Climate Change,1393.32
External Affairs,14662.66
Economic Affairs,16046.15
Financial Services,31975.52
Economic Affairs (Centralised Provisions),603316.31
Expenditure,34961.38
Disinvestment,40.00
Food Processing Industries,636.02
Health and Family Welfare,16371.08
Health Research,1144.80
Heavy Industry,1300.00
Public Enterprises,20.42
Home Affairs,73406.37
Housing and Urban Poverty Alleviation,588.00
School Education and Literacy,8466.50
Higher Education,27585.00
Information and Broadcasting,4083.63
Labour and Employment,6131.35
Election Commission,121.52
Law and Justice,4564.99
Supreme Court of India,189.88
Micro Small and Medium Enterprises,3464.77
Mines,1213.49
Minority Affairs,2824.00
New and Renewable Energy,5035.79
Panchayati Raj,768.33
Parliamentary Affairs,17.30
Personnel Public Grievances and Pensions,1477.68
Petroleum and Natural Gas,29160.62
Planning,293.14
Power,12252.71
The President Parliament Union Public Service Commission and the Secretariat of the Vice President,1275.7
Road Transport and Highways,46983.00
Rural Development,7671.40
Land Resources,230.51
Science and Technology,4470.20
Scientific and Industrial Research,4062.80
Biotechnology,1820.00
Shipping,1531.00
Skill Development and Entrepreneurship,1804.28
Social Justice and Empowerment,1934.35
Empowerment of Persons with Disabilities,783.55
Space,7509.14
Statistics and Programme Implementation,772.82
Steel,85.62
Textiles,4594.82
Tourism,1590.32
Tribal Affairs,399.28
Urban Development,17461.60
Water Resources River Development and Ganga Rejuvenation,4566.8
Women and Child Development,3094.32
Youth Affairs and Sports,1592.00
Railways,45000.00
II. STATE PLANS TOTAL (A+B),234372.36
A. STATE PLANS,232772.36
a. Agriculture Cooperation and Farmers Welfare,12739.96
b. Animal Husbandry Dairying and Fisheries,540.23
c. Ayurveda Yoga & Naturopathy Unani Siddha and Homoeopathy ( AYUSH),394
d. Commerce,...
e. Electronics and Information Technology,...
f. Drinking Water and Sanitation,12537.00
g. Environment Forests and Climate Change,856.42
h. Economic Affairs (Centralised Provisions),14850.00
i. Food Processing Industries,...
j. Health and Family Welfare,20510.59
k. Home Affairs,1813.11
l. Housing and Urban Poverty Alleviation,4795.92
m. School Education and Literacy,34807.28
n. Higher Education,1180.00
o. Labour and Employment,111.25
p. Law and Justice,460.01
q. Minority Affairs,991.75
r. Panchayati Raj,...
s. Road Transport and Highways,10833.00
t. Rural Development,78298.05
u. Land Resources,1477.85
v. Social Justice and Empowerment,4617.10
w. Empowerment of Persons with Disabilities,0.01
x. Statistics and Programme Implementation,3980.01
y. Textiles,...
z. Tribal Affairs,4427.22
aa. Urban Development,6668.40
bb. Water Resources River Development and Ganga Rejuvenation,1625.27
cc. Women and Child Development,14257.93
dd. Youth Affairs and Sports,...
B. DONER (gg+hh),1600.00
gg. Grants from Central Pool of Resources for North Eastern Region and Sikkim,...
hh. North Eastern Region,1600.00
,
III. UNION TERRITORIES (A + B),14179.61
A. UNION TERRITORIES WITH LEGISLATURE (1 + 2 + 3),3510.95
(2) Puducherry,1409.00
,
(3) UT Schemes(Others),1248.95
B. UNION TERRITORIES WITHOUT LEGISLATURE (4 + 5 + 6 + 7 + 8),10668.66
(4) Andaman and Nicobar Islands,4072.02
(5) Chandigarh,3544.54
(6) Dadra and Nagar Haveli,1060.84
(7) Daman and Diu,766.72
(8) Lakshadweep,1224.54
IV. Total Central Assistance for States and UTs (II + III),248551.97
Grand Total,1978060.45
