Ministry,Budget,Percentage_Share
I. CENTRAL SECTOR,,
Agriculture and Cooperation,8885.9700,0.8014
Agricultural Research and Education,3818.0500,0.3444
Animal Husbandry,1398.7000,0.1262
Atomic Energy,8521.0000,0.7685
Chemicals and Petro-chemicals,420.0000,0.0379
Fertilisers,50215.0000,4.5290
Pharmaceuticals,198.0000,0.0179
Civil Aviation,2885.0000,0.2602
Coal,447.7000,0.0404
Commerce,3980.0500,0.3590
Industrial Policy and Promotion,1208.8700,0.1090
Posts,4266.1400,0.3848
Telecommunications,7210.8700,0.6504
Information Technology,2707.0000,0.2441
Consumer Affairs,475.2000,0.0429
Food and Public Distribution,56133.0500,5.0627
Corporate Affairs,249.0100,0.0225
Culture,1238.0000,0.1117
Defence (Civil estimates),,
Defence Services,147344.0000,13.2892
Development of North Eastern Region,209.3300,0.0189
Earth Sciences,1302.0000,0.1174
Environment and Forests,2351.1600,0.2121
External Affairs,6375.0000,0.5750
Economic Affairs,6722.4400,0.6063
Financial Services,37609.1000,3.3920
Economic Affairs (centralised provisions),281433.0000,25.3829
Expenditure,17074.8500,1.5400
Disinvestment,63.3600,0.0057
Food Processing Industries,409.7200,0.0370
Health & Family Welfare,23530.0000,2.1222
Ayurveda Yoga & Naturopathy Unani Siddha and Homoeopathy(AYUSH),964.0000,0.0869
Health Research,660.0000,0.0595
Heavy Industry,881.7100,0.0795
Public Enterprises,15.7200,0.0014
Home Affairs,35144.9700,3.1698
Housing and Urban Poverty Alleviation,1007.0300,0.0908
School Education and Literacy,33214.0000,2.9956
Higher Education,16690.0000,1.5053
Information and Broadcasting,2604.1800,0.2349
Labour and Employment,2848.3300,0.2569
Election Commission,,
Law and Justice,687.1900,0.0620
Supreme Court of India,,
Micro Small and Medium Enterprises,2648.7000,0.2389
Mines,566.1400,0.0511
Minority Affairs,2615.3700,0.2359
New and Renewable Energy,1008.5000,0.0910
Overseas Indian Affairs,,
Panchayati Raj,120.7100,0.0109
Parliamentary Affairs,,
Personnel Public Grievances and Pensions,706.3600,0.0637
Petroleum and Natural Gas,3179.0000,0.2867
Planning,2059.3200,0.1857
Power,10474.8700,0.9447
The President Parliament Union Public Service Commission and the Secretariat of the Vice-President,670.1700,0.0604
Road Transport and Highways,22184.9000,2.0009
Rural Development,66137.8600,5.9651
Land Resources,2665.8000,0.2404
Drinking Water Supply,10583.7800,0.9546
Science and Technology,2369.0000,0.2137
Scientific and Industrial Research,2988.0000,0.2695
Biotechnology,1222.0000,0.1102
Shipping,1935.8900,0.1746
Social Justice and Empowerment,4574.0000,0.4125
Space,5778.0000,0.5211
Statistics and Programme Implementation,568.3500,0.0513
Steel,107.6200,0.0097
Textiles,5608.0800,0.5058
Tourism,1119.4100,0.1010
Tribal Affairs,1213.8700,0.1095
Urban Development,7489.3700,0.6755
Water Resources,1105.0000,0.0997
Women and Child Development,11070.5000,0.9985
Youth Affairs and Sports,3565.0000,0.3215
Railways,,
CENTRAL SECTOR - TOTAL,1012519.0500,91.3208
II. STATE PLANS,,
A. State Plans (a+b+c+d+e+f),,
a. Agriculture and Cooperation,,
b. Finance,,
c. Panchayati Raj,,
d. Statistics and Programme Implementation,,
e. Road Transport and Highways,,
f. Tribal Affairs,,
B. DONER (g+h+i),,
g. North Eastern Region,,
h. Central Pool of Resources for NE and Sikkim,,
i. Special Package for Bodoland Territorial Council,,
III. UNION TERRITORIES (A+B),7306.2700,0.6590
A. Union Territories with Legislature (i+ii),2054.5900,0.1853
(i) Puducherry,745.8900,0.0673
B. Union Territories without Legislature (iii+iv+v+vi+vii),5251.6800,0.4737
(iii) Andaman & Nicobar Islands,2064.3100,0.1862
(iv) Chandigarh,1920.8900,0.1732
(v) Dadra and Nagar Haveli,287.0200,0.0259
(vi) Daman and Diu,269.1800,0.0243
(vii) Lakshadweep,710.2800,0.0641
IV. Total Central Assistance for States and UTs (II+III),96230.1900,8.6792
